pmid,first_author,year,journal,title,topic,claim_supported,evidence_type,evidence_strength,direction
32863081,Kwak S,2020,J Cardiol,Differential risk of incident cancer in patients with heart failure: A nationwide population-based cohort study.,epidemiology,"In 128,441 Korean HF patients the crude cancer HR was 1.64 (95% CI 1.61-1.68), but a 2-year lag analysis excluding early diagnoses attenuated this to HR 1.09 (95% CI 1.05-1.13), with only lung, hepatobiliary/pancreatic and haematologic cancers remaining consistently elevated.",human_observational,strong,supports
34180146,Roderburg C,2021,ESC Heart Fail,Heart failure is associated with an increased incidence of cancer diagnoses.,epidemiology,"In 100,124 matched German outpatient pairs, 25.7% of HF versus 16.2% of non-HF patients received a cancer diagnosis over 10 years (HR 1.76, 95% CI 1.71-1.81); matching included yearly consultation frequency.",human_observational,moderate,supports
35492831,Bertero E,2022,JACC CardioOncol,Cancer Incidence and Mortality According to Pre-Existing Heart Failure in a Community-Based Cohort.,epidemiology,"In 104,020 matched pairs from Puglia, cancer incidence was higher with pre-existing HF (HR 1.76) and cancer mortality far higher (HR 4.11; competing-risk subdistribution HR 3.48); among HF patients, high-dose loop diuretic prescription was itself associated with higher cancer incidence and mortality.",human_observational,strong,supports
38429011,Bertero E,2024,Eur J Prev Cardiol,Association of inflammatory markers with incident heart failure or cancer in the HUNT3 and Health ABC population studies.,epidemiology,"Baseline hsCRP was associated with incident HF or cancer in HUNT3 (HR 1.09) and Health ABC (HR 1.11), as were IL-1, IL-6 and TNF-alpha, supporting low-grade inflammation as a shared antecedent of both diseases.",human_observational,moderate,neutral
40841102,Alhuneafat L,2025,JACC CardioOncol,"Cancer and Cardiovascular Disease: Shared Risk Factors, Mechanisms, and Clinical Implications: JACC: CardioOncology State-of-the-Art Review.",epidemiology,"JACC CardioOncology state-of-the-art review on shared risk factors and mechanisms (ageing, inflammation, metabolic dysregulation, clonal haematopoiesis) linking cancer and cardiovascular disease.",review,moderate,neutral
19638707,Asakura M,2009,Circ J,Global gene expression profiling in the failing myocardium.,ligand_biology,"Meta-analysis of failing-myocardium microarray datasets identified 107 recurrent HF-related genes including the extracellular molecules periostin, pleiotrophin and SERPINA3.",review,moderate,supports
21078975,He W,2010,Proc Natl Acad Sci U S A,Exogenously administered secreted frizzled related protein 2 (Sfrp2) reduces fibrosis and improves cardiac function in a rat model of myocardial infarction.,ligand_biology,"Endogenous Sfrp2 protein was upregulated in rat heart after myocardial infarction, and exogenous Sfrp2 reduced fibrosis and improved cardiac function by inhibiting Bmp1-mediated procollagen processing.",mechanistic_animal,moderate,supports
21622850,El-Armouche A,2011,Circ Heart Fail,Follistatin-like 1 in chronic systolic heart failure: a marker of left ventricular remodeling.,ligand_biology,"Serum FSTL1 was 56% higher in chronic systolic HF patients than matched controls and predicted LV mass index, and FSTL1 protein was 2.5-fold higher in explanted failing than non-failing human hearts.",human_observational,strong,supports
22362893,Frolova EG,2012,FASEB J,Thrombospondin-4 regulates fibrosis and remodeling of the myocardium in response to pressure overload.,ligand_biology,"TSP-4 (THBS4) expression increases markedly in hypertrophic and failing hearts in rodent models and in humans, and Thbs4-knockout mice showed greater cardiac fibrosis and worse functional parameters after transverse aortic constriction.",mechanistic_animal,moderate,supports
23917519,Huang Y,2013,Basic Res Cardiol,Deficiency of cartilage oligomeric matrix protein causes dilated cardiomyopathy.,ligand_biology,"COMP-knockout mice spontaneously developed dilated cardiomyopathy via reduced integrin beta-1 signalling, and COMP expression was DECREASED in DCM patient hearts versus donor hearts - the opposite direction to a HF-upregulated secreted ligand.",mechanistic_animal,moderate,contradicts
24219836,Zhao S,2013,J Cardiol,Periostin expression is upregulated and associated with myocardial fibrosis in human failing hearts.,ligand_biology,"Periostin mRNA was significantly increased in explanted human failing myocardium versus donor controls, was undetectable at protein level in controls, and its protein level correlated with myocardial fibrosis and LV diastolic dimension.",human_observational,strong,supports
24464932,Wu CK,2013,Eur J Heart Fail,Connective tissue growth factor and cardiac diastolic dysfunction: human data from the Taiwan diastolic heart failure registry and molecular basis by cellular and animal models.,ligand_biology,"Plasma CTGF correlated with diastolic dysfunction severity (E/e') and MRI-assessed myocardial fibrosis in 125 diastolic HF patients, with stretch increasing CTGF secretion from cardiomyocytes in vitro and tissue CTGF rising in a canine aortic-banding model.",human_observational,moderate,supports
24663091,Frangogiannis NG,2014,Nat Rev Cardiol,"The inflammatory response in myocardial injury, repair, and remodelling.",ligand_biology,Review establishing that myocardial injury triggers cytokine and chemokine upregulation in the infarcted and remodelling myocardium as part of the inflammatory response driving heart failure.,review,strong,supports
26008895,Zuern CS,2015,Clin Res Cardiol,Endomyocardial expression of SDF-1 predicts mortality in patients with suspected myocarditis.,ligand_biology,"Endomyocardial CXCL12 (SDF-1) staining was positive in 65.4% of biopsies from inflammatory cardiomyopathy versus 19.1% of non-inflammatory cardiomyopathy, correlated with myocardial fibrosis, and predicted mortality in 174 non-ischaemic HF patients.",human_observational,moderate,supports
27430031,Tanaka K,2016,JACC Basic Transl Sci,Follistatin like 1 Regulates Hypertrophy in Heart Failure with Preserved Ejection Fraction.,ligand_biology,"Blood FSTL1 was increased in humans with HFpEF and in hypertensive HFpEF mice, but cardiomyocyte-specific Fstl1 deletion worsened hypertrophy and diastolic dysfunction, so cardiac FSTL1 is protective rather than pathogenic.",mechanistic_animal,moderate,neutral
28062617,Wollert KC,2016,Clin Chem,Growth Differentiation Factor 15 as a Biomarker in Cardiovascular Disease.,ligand_biology,"GDF-15 is secreted in response to inflammation, oxidative stress and hypoxia; higher concentrations in community-dwelling individuals predict incident CVD, chronic kidney disease AND cancer independently of other biomarkers, and GDF-15 is independently associated with outcomes in HFpEF and HFrEF.",review,strong,neutral
28247849,Imran TF,2016,Am J Cardiol,Meta-Analysis of the Usefulness of Plasma Galectin-3 to Predict the Risk of Mortality in Patients With Heart Failure and in the General Population.,ligand_biology,"Meta-analysis of 18 studies (32,350 participants) found each 1 SD increase in plasma galectin-3 associated with all-cause mortality (HR 1.10), CVD mortality (HR 1.22) and incident HF (HR 1.12).",meta_analysis,strong,supports
28057251,Ng LL,2017,J Am Coll Cardiol,"Proenkephalin, Renal Dysfunction, and Prognosis in Patients With Acute Heart Failure: A GREAT Network Study.",ligand_biology,"In 1,908 acute HF patients, plasma proenkephalin A independently predicted 1-year mortality and worsening renal function; PENK is a stable surrogate for labile enkephalins and its main determinant was renal function, not cardiac status.",human_observational,strong,neutral
28288987,Besler C,2017,Circ Heart Fail,Plasma and Cardiac Galectin-3 in Patients With Heart Failure Reflects Both Inflammation and Fibrosis: Implications for Its Use as a Biomarker.,ligand_biology,"In endomyocardial biopsies, myocardial galectin-3 correlated with fibrosis in dilated cardiomyopathy and with inflammatory cell count in inflammatory cardiomyopathy, but plasma galectin-3 did NOT correlate with myocardial galectin-3 or LV fibrosis - a direct caveat on inferring cardiac secretion from plasma levels.",human_observational,strong,contradicts
30040954,Dorn LE,2018,J Mol Cell Cardiol,CTGF/CCN2 is an autocrine regulator of cardiac fibrosis.,ligand_biology,"Cell-specific deletion showed CCN2 from activated fibroblasts, not from cardiomyocytes (its main cardiac source), drives cardiac fibrosis and that CCN2 acts in an autocrine fashion - a direct caveat against treating cardiac CCN2 as an endocrine tumour-promoting signal.",mechanistic_animal,strong,contradicts
30113647,Brankovic M,2018,J Clin Endocrinol Metab,Cardiometabolic Biomarkers and Their Temporal Patterns Predict Poor Outcome in Chronic Heart Failure (Bio-SHiFT Study).,ligand_biology,Serially measured IGFBP-7 levels and their slopes independently predicted the composite endpoint in 263 chronic HF patients after adjustment for NT-proBNP and troponin.,human_observational,moderate,supports
30120963,Matsuo A,2018,Peptides,"Natriuretic peptides in human heart: Novel insight into their molecular forms, functions, and diagnostic use.",ligand_biology,"ANP and BNP plasma concentrations and expression are elevated with volume and wall-stress load in human heart failure, but the circulating molecular forms are heterogeneous, with weakly active proBNP predominating.",review,strong,neutral
31091993,Emmens JE,2019,Circ Heart Fail,"Proenkephalin, an Opioid System Surrogate, as a Novel Comprehensive Renal Marker in Heart Failure.",ligand_biology,"In 2,180 BIOSTAT-CHF patients with validation in 1,703 more, PENK was elevated above the 99th percentile in 57%, but its strongest independent predictor was eGFR and it clustered with renal markers, so elevated PENK in HF primarily reflects kidney function.",human_observational,strong,neutral
32064070,Huang A,2020,Ther Adv Chronic Dis,Role of Sfrps in cardiovascular disease.,ligand_biology,"Review of secreted frizzled-related proteins in cardiovascular disease, reporting involvement in myocardial infarction, cardiac remodelling and heart failure while stating that the overall role of Sfrps in cardiac disease is unknown.",review,weak,neutral
32444692,Goetze JP,2020,Nat Rev Cardiol,Cardiac natriuretic peptides.,ligand_biology,"Authoritative review establishing ANP (NPPA) and BNP (NPPB) as cardiomyocyte-secreted hormones signalling through membrane guanylyl cyclase receptors, with plasma levels serving as diagnostic and prognostic biomarkers of heart disease.",review,strong,neutral
34989084,Ceelen D,2022,Eur J Heart Fail,Pathophysiological pathways related to high plasma growth differentiation factor 15 concentrations in patients with heart failure.,ligand_biology,"In 2,279 HF patients with validation in 1,705, high plasma GDF-15 marked activation of inflammatory pathways including IL-6 response, TNF/death receptor activity and T-cell differentiation, and predicted mortality and HF hospitalisation.",human_observational,strong,supports
39443792,Amrute JM,2024,Nature,Targeting immune-fibroblast cell communication in heart failure.,ligand_biology,"Multiomic single-cell profiling of 45 healthy, infarcted and chronically failing human hearts identified a FAP/POSTN-expressing matrifibrocyte population arising via macrophage IL-1beta signalling, localising periostin production to a disease-associated human cardiac fibroblast state.",human_observational,strong,supports
42012548,El-Qendouci M,2026,Curr Heart Fail Rep,IGFBP7 and Heart Failure: From Senescence Biomarker to Therapeutic Target.,ligand_biology,"Review concluding circulating IGFBP7 is strongly associated with HF development and progression, with cell-specific actions: cardiomyocyte-derived IGFBP7 signals through IGF-1R while endothelial-derived IGFBP7 inhibits cardiomyocyte insulin receptor signalling.",review,moderate,supports
22460905,Barretina J,2012,Nature,The Cancer Cell Line Encyclopedia enables predictive modelling of anticancer drug sensitivity.,methods,"The Cancer Cell Line Encyclopedia: gene expression, copy number and sequencing across 947 human cancer cell lines with pharmacological profiles, enabling lineage-level expression comparisons.",in_vitro,strong,neutral
24071849,Weinstein JN,2013,Nat Genet,The Cancer Genome Atlas Pan-Cancer analysis project.,methods,"The TCGA Pan-Cancer analysis project, providing matched multi-platform molecular profiles across tumour types for cross-lineage comparison.",human_observational,strong,neutral
25613900,Uhlén M,2015,Science,Proteomics. Tissue-based map of the human proteome.,methods,"Tissue-based map of the human proteome integrating quantitative tissue transcriptomics with immunohistochemistry across 32 tissues, used to define the human secretome and cancer proteome.",human_observational,strong,neutral
25954001,[consortium authorship; no individual author in PubMed record],2015,Science,Human genomics. The Genotype-Tissue Expression (GTEx) pilot analysis: multitissue gene regulation in humans.,methods,"GTEx pilot analysis of RNA sequencing from 1,641 samples across 43 tissues in 175 individuals, establishing the reference for normal human tissue expression.",human_observational,strong,neutral
32103204,Efremova M,2020,Nat Protoc,CellPhoneDB: inferring cell-cell communication from combined expression of multi-subunit ligand-receptor complexes.,methods,CellPhoneDB provides a ligand-receptor repository that accounts for multi-subunit complex architecture plus a statistical framework for inferring enriched cell-type interactions from single-cell transcriptomics.,in_vitro,strong,neutral
33597522,Jin S,2021,Nat Commun,Inference and analysis of cell-cell communication using CellChat.,methods,"CellChat infers intercellular communication from single-cell RNA-seq using a curated ligand-receptor-cofactor database, the canonical approach to expression-based ligand-receptor inference.",in_vitro,strong,neutral
38937570,Andrzejczyk K,2024,Sci Rep,"Identifying plasma proteomic signatures from health to heart failure, across the ejection fraction spectrum.",methods,"Comparison of 4,210 circulating proteins across 739 patients spanning healthy, Stage A/B, HFpEF and ischaemic HFrEF found 2,122 proteins differentially expressed in iHFrEF but only 52 in HFpEF versus healthy, showing the HF plasma proteome is strongly phenotype-dependent.",human_observational,moderate,neutral
39572695,Schuermans A,2024,Nat Cardiovasc Res,Integrative proteomic analyses across common cardiac diseases yield mechanistic insights and enhanced prediction.,methods,"Analysis of 1,459 proteins in 44,313 UK Biobank participants identified 820 protein-disease associations across coronary artery disease, HF, atrial fibrillation and aortic stenosis, but cis-Mendelian randomisation supported causal roles for only about 4% of proteins.",human_observational,strong,neutral
40536815,Cesaro G,2025,Brief Bioinform,"Advances and challenges in cell-cell communication inference: a comprehensive review of tools, resources, and future directions.",methods,"Review of over 100 cell-cell communication inference tools and nearly 50 ligand-receptor resources, cataloguing their differing assumptions and limitations and the unresolved pitfalls of expression-based interaction inference.",review,strong,contradicts
11890982,Zagon IS,2002,Brain Res Brain Res Rev,The biology of the opioid growth factor receptor (OGFr).,receptor_cancer,"The OGF receptor is a nuclear-envelope-associated protein with no structural homology to the classical opioid receptors, so enkephalin growth effects need not run through OPRK1/OPRD1/OPRM1.",review,moderate,neutral
14996858,Chang CC,2004,J Natl Cancer Inst,Connective tissue growth factor and its role in lung adenocarcinoma invasion and metastasis.,receptor_cancer,"CTGF overexpression REDUCED invasive and metastatic activity of lung adenocarcinoma cells via integrin alpha-v beta-3/beta-5-dependent CRMP-1 induction, showing CCN2-integrin signalling can be anti-metastatic depending on tumour type.",in_vitro,moderate,contradicts
16297362,Vesely DL,2005,J Investig Med,Atrial natriuretic peptides: anticancer agents.,receptor_cancer,"ANP-family peptides at micromolar concentrations reduced pancreatic, breast and lung cancer cell numbers in culture, whereas BNP had no effect even at 100-fold higher concentration - i.e. reported anticancer activity is peptide-specific and at supraphysiological doses.",in_vitro,weak,contradicts
18283316,Suzuki H,2008,Br J Cancer,Frequent epigenetic inactivation of Wnt antagonist genes in breast cancer.,receptor_cancer,"SFRP1, SFRP2 and SFRP5 were methylated in most breast cancer cell lines and primary tumours, and SFRP overexpression inhibited cancer cell growth - so more SFRP ligand would be predicted to restrain, not promote, Wnt-driven tumours.",in_vitro,moderate,contradicts
21531450,Donahue RN,2011,Gynecol Oncol,The opioid growth factor (OGF) and low dose naltrexone (LDN) suppress human ovarian cancer progression in mice.,receptor_cancer,"Opioid growth factor (met-enkephalin) and low-dose naltrexone each reduced SKOV-3 ovarian tumour burden in nude mice by inhibiting proliferation and angiogenesis, implicating the OGF-OGFr axis rather than the classical GPCR opioid receptors.",mechanistic_animal,moderate,supports
23574786,Zhang YF,2013,Hum Pathol,κ-Opioid receptor in the nucleus is a novel prognostic factor of esophageal squamous cell carcinoma.,receptor_cancer,"KOR protein was upregulated in oesophageal squamous cell carcinoma versus non-tumour epithelium, and high nuclear KOR expression was an independent predictor of poorer prognosis in 256 cases.",human_observational,moderate,supports
23942617,McCart Reed AE,2013,Virchows Arch,Thrombospondin-4 expression is activated during the stromal response to invasive breast cancer.,receptor_cancer,"THBS4 was absent from normal breast epithelium and matrix but significantly induced in cancer-associated stroma versus normal stroma and epithelium, with rare genomic alteration - i.e. a stromal, microenvironment-induced response rather than a tumour-cell-autonomous receptor axis.",human_observational,moderate,supports
24104703,Zylla D,2013,Cancer,"Opioid requirement, opioid receptor expression, and clinical outcomes in patients with advanced prostate cancer.",receptor_cancer,"In metastatic prostate cancer, higher tumour MOR expression and greater opioid requirement were independently associated with shorter progression-free and overall survival, with validation in a national registry cohort.",human_observational,moderate,supports
24225480,Yamamizu K,2013,Sci Rep,к Opioids inhibit tumor angiogenesis by suppressing VEGF signaling.,receptor_cancer,"Kappa opioid receptor agonists inhibited endothelial migration and tube formation by suppressing VEGFR2, and tumours in KOR-knockout mice grew faster with enhanced angiogenesis - i.e. KOR signalling was anti-tumorigenic here.",mechanistic_animal,moderate,contradicts
24316024,Surana R,2013,Biochim Biophys Acta,Secreted frizzled related proteins: Implications in cancers.,receptor_cancer,"Review establishing SFRPs as extracellular Wnt inhibitors that bind Wnt ligands or Frizzled receptors, whose genes are frequently silenced by promoter hypermethylation across cancers, consistent with a tumour-suppressor role.",review,strong,contradicts
24920011,Singleton PA,2014,Br J Anaesth,Increased μ-opioid receptor expression in metastatic lung cancer.,receptor_cancer,MOR immunostaining was significantly higher in lung cancer than adjacent normal lung and roughly two-fold higher in metastatic cases.,human_observational,moderate,supports
24924122,Ford CE,2014,Gynecol Oncol,"The non-canonical Wnt ligand, Wnt5a, is upregulated and associated with epithelial to mesenchymal transition in epithelial ovarian cancer.",receptor_cancer,"In 623 patients, the non-canonical Wnt ligand WNT5A was upregulated across all major epithelial ovarian cancer subtypes versus borderline and benign tumours, and recombinant WNT5A reduced adhesion and induced EMT in ovarian surface epithelial cells.",human_observational,moderate,supports
25417160,Gujral TS,2014,Cell,A noncanonical Frizzled2 pathway regulates epithelial-mesenchymal transition and metastasis.,receptor_cancer,"FZD2 and its ligands WNT5A/WNT5B were elevated in metastatic cancer cell lines and high-grade tumours, and FZD2 drove EMT and migration through a noncanonical Fyn-STAT3 pathway; an anti-FZD2 antibody inhibited tumour growth and metastasis in xenografts.",in_vitro,strong,supports
25886299,Gambaro K,2015,BMC Cancer,Low levels of IGFBP7 expression in high-grade serous ovarian carcinoma is associated with patient outcome.,receptor_cancer,"In high-grade serous ovarian carcinoma IGFBP7 expression was significantly LOWER than in normal ovarian surface epithelium, with LOH and promoter methylation, so the direction of IGFBP7 effect is tumour-type dependent.",human_observational,moderate,contradicts
26043748,Sato Y,2015,J Clin Pathol,Relationship between expression of IGFBP7 and clinicopathological variables in gastric cancer.,receptor_cancer,"In 219 gastric cancer patients IGFBP7 protein overexpression correlated with invasion depth, nodal and distant metastasis and worse disease-specific survival (HR 4.8).",human_observational,moderate,supports
27634171,Li Z,2016,Free Radic Biol Med,Natriuretic peptide receptor A inhibition suppresses gastric cancer development through reactive oxygen species-mediated G2/M cell cycle arrest and cell death.,receptor_cancer,"NPR1 (NPRA) expression correlated positively with gastric tumour size and stage, and NPR1 knockdown induced ROS-mediated G2/M arrest and cell death, so NPR1 signalling was pro-tumorigenic in this model.",in_vitro,moderate,supports
28953886,Hsu JY,2017,Nature,Non-homeostatic body weight regulation through a brainstem-restricted receptor for GDF15.,receptor_cancer,"GFRAL, the receptor for GDF15, is restricted to the area postrema and nucleus tractus solitarius of the brainstem, so circulating GDF15 acting through its canonical receptor cannot signal directly to peripheral tumour cells.",mechanistic_animal,strong,contradicts
30110636,Kudo-Saito C,2018,Cell Rep,Blocking the FSTL1-DIP2A Axis Improves Anti-tumor Immunity.,receptor_cancer,DIP2A is the receptor for FSTL1 and its expression in tumour cells is critical for FSTL1-induced immunoresistance; FSTL1/DIP2A co-positivity correlated with poor prognosis in NSCLC.,mechanistic_animal,moderate,supports
30677195,Ou H,2019,Cancer Sci,"Frizzled 2-induced epithelial-mesenchymal transition correlates with vasculogenic mimicry, stemness, and Hippo signaling in hepatocellular carcinoma.",receptor_cancer,"FZD2 was highly expressed in two cohorts of hepatitis B-related hepatocellular carcinoma, high expression associated with poor prognosis, and FZD2 drove EMT, stem-like properties and vasculogenic mimicry.",in_vitro,moderate,supports
31932454,Asem M,2020,Cancer Res,Host Wnt5a Potentiates Microenvironmental Regulation of Ovarian Cancer Metastasis.,receptor_cancer,"Host-derived WNT5A secreted by peritoneal mesothelial cells and visceral adipose promoted ovarian cancer peritoneal metastasis, and conditional host Wnt5a knockout significantly reduced metastatic burden - establishing a host-secreted ligand axis in gynaecologic cancer.",mechanistic_animal,moderate,supports
32504831,Carli M,2020,Pharmacol Res,Opioid receptors beyond pain control: The role in cancer pathology and the debated importance of their pharmacological modulation.,receptor_cancer,"Review concluding that evidence for opioid receptor agonists in human cancer is conflicting, with both cancer-promoting and cancer-suppressing findings reported and tissue receptor expression varying by tumour type.",review,strong,neutral
32661391,Suriben R,2020,Nat Med,Antibody-mediated inhibition of GDF15-GFRAL activity reverses cancer cachexia in mice.,receptor_cancer,"An antagonistic anti-GFRAL antibody reversed cancer cachexia in tumour-bearing mice via a peripheral sympathetic lipolytic axis, so the established GDF15 role in cancer is host wasting rather than direct tumour growth promotion.",mechanistic_animal,strong,neutral
33124726,Wei WF,2020,Mol Oncol,Periostincancer-associated fibroblasts promote lymph node metastasis by impairing the lymphatic endothelial barriers in cervical squamous cell carcinoma.,receptor_cancer,A periostin-high cancer-associated fibroblast subset in cervical squamous cell carcinoma correlated with lymph node metastasis and poor survival and impaired lymphatic endothelial barriers via integrin-FAK/Src-VE-cadherin signalling.,human_observational,moderate,supports
33407730,Shi Y,2021,J Exp Clin Cancer Res,Thrombospondin 4/integrin α2/HSF1 axis promotes proliferation and cancer stem-like traits of gallbladder cancer by enhancing reciprocal crosstalk between cancer-associated fibroblasts and tumor cells.,receptor_cancer,"CAF-derived TSP-4 bound integrin alpha-2 on gallbladder cancer cells to phosphorylate HSF1 and promote proliferation, EMT and stem-like traits, giving THBS4 a defined receptor in cancer.",in_vitro,moderate,supports
33569740,Zhang Y,2021,Breast Cancer,"Overexpression of SERPINA3 promotes tumor invasion and migration, epithelial-mesenchymal-transition in triple-negative breast cancer cells.",receptor_cancer,"SERPINA3 was upregulated in breast cancer tissue and its overexpression promoted proliferation, migration, invasion and EMT in triple-negative cell lines - i.e. tumour-promoting in breast cancer, opposite to the lung finding.",in_vitro,moderate,supports
33723319,Azimian-Zavareh V,2021,Sci Rep,Wnt5A modulates integrin expression in a receptor-dependent manner in ovarian cancer cells.,receptor_cancer,"WNT5A overexpression in ovarian cancer cells upregulated FZD2 and FZD5, increased alpha-v integrin expression, proliferation and migration, and a FZD5 antagonist abrogated these effects, connecting non-canonical Wnt-Frizzled signalling to integrin biology in ovarian cancer.",in_vitro,moderate,supports
33832493,Tuluhong D,2021,Cancer Cell Int,FZD2 promotes TGF-β-induced epithelial-to-mesenchymal transition in breast cancer via activating notch signaling pathway.,receptor_cancer,"FZD2 mRNA and protein were abundant in breast cancer tissue, high FZD2 correlated with poor prognosis, and FZD2 silencing suppressed growth, migration, invasion and xenograft tumour growth via TGF-beta1-dependent EMT.",in_vitro,moderate,supports
34551961,Loh JJ,2021,Cancer Res,FSTL1 Secreted by Activated Fibroblasts Promotes Hepatocellular Carcinoma Metastasis and Stemness.,receptor_cancer,"FSTL1 secreted by activated hepatic fibroblasts promoted hepatocellular carcinoma growth, metastasis and stemness by binding TLR4 and activating AKT/mTOR/4EBP1; FSTL1 blockade reduced malignancy in a preclinical model.",mechanistic_animal,moderate,supports
35359418,Belltall A,2022,Front Oncol,Solid Tumor Opioid Receptor Expression and Oncologic Outcomes: Analysis of the Cancer Genome Atlas and Genotype Tissue Expression Project.,receptor_cancer,"Across 8,780 TCGA and GTEx samples from twelve solid tumour types, KOR (OPRK1, OR 1.27), DOR (OPRD1, OR 1.66) and OGFR (OR 2.39) were more expressed in tumour than normal tissue while MOR (OPRM1, OR 0.74) was less; after adjustment, tumour opioid receptor expression was NOT associated with disease-free interval or overall survival.",human_observational,strong,contradicts
35843512,Soman A,2022,Biochim Biophys Acta Rev Cancer,Unfolding the cascade of SERPINA3: Inflammation to cancer.,receptor_cancer,"Review concluding SERPINA3 has cancer- and compartment-specific functions, acting as a tumour promoter in some cancers and a suppressor in others, with its mechanism and effectors still obscure.",review,moderate,neutral
36210625,Makino Y,2022,Cell Mol Gastroenterol Hepatol,STAT3 is Activated by CTGF-mediated Tumor-stroma Cross Talk to Promote HCC Progression.,receptor_cancer,Hepatoma-derived CTGF stimulated integrin/NF-kB signalling in stromal cells to upregulate IL-6 family cytokines that reactivated gp130/STAT3 in tumour cells; hepatocyte CTGF knockout suppressed tumour progression.,mechanistic_animal,moderate,supports
36255654,Guo B,2022,Clin Transl Oncol,Cartilage oligomeric matrix protein acts as a molecular biomarker in multiple cancer types.,receptor_cancer,Pan-cancer analysis found COMP significantly overexpressed in 15 human cancers with diagnostic ROC performance across 16 tumour types and association with immune evasion.,human_observational,moderate,supports
