ligand,in_gtex_table,log2FC_GSE116250,fdr_GSE116250,log2FC_GSE141910,fdr_GSE141910,min_log2FC,A1_pass,ratio_GAPDH_GSE116250,ratio_GAPDH_GSE141910,min_ratio_GAPDH,A2_pass,best_heart_rank,n_tissues,top_tissue,gtex_classification,A3_pass,pass_all,binding_constraint,orig_cardiac_enriched,newly_admitted_by_A3
FGF1,True,0.3445011271008495,0.0173119853747244,0.6591137757041687,8.195807746864935e-28,0.3445011271008495,False,0.03311762484838815,0.04704095743893416,0.03311762484838815,True,20.0,52.0,Brain_Spinal_cord_cervical_c-1,cardiac-expressed-but-not-enriched,True,False,A1,False,True
FLT3LG,False,0.5954600146737143,6.760844251970655e-05,0.5320792444854828,4.569911380851211e-07,0.5320792444854828,False,0.0026453723592498976,0.00012224349220200703,0.00012224349220200703,False,,,,,False,False,A1+A2+A3,False,False
GAS6,True,0.2460458006247857,0.0039172637243509,0.2319042388372027,0.0034196003830042,0.2319042388372027,False,0.10434720903593014,0.060447225861693696,0.060447225861693696,True,24.0,52.0,Artery_Aorta,cardiac-expressed-but-not-enriched,True,False,A1,False,True
GDF10,True,0.9708145076712,2.047746624997964e-05,1.2586402017685594,9.125890220181421e-22,0.9708145076712,False,0.0010986372243295091,0.0004366808732961454,0.0004366808732961454,False,27.0,52.0,Lung,not-cardiac (below tissue median),False,False,A1+A2+A3,False,False
GDF15,True,0.6595890042055461,0.0089744935925734,1.096359163161135,1.880056480809634e-13,0.6595890042055461,False,0.0010644553725065876,0.0001709672684916828,0.0001709672684916828,False,39.0,52.0,Kidney_Cortex,not-cardiac (heart TPM < 1),False,False,A1+A2+A3,False,False
GDF6,True,0.6002479962024183,0.0015408196953625,1.9884679391808937,1.7679144444743967e-46,0.6002479962024183,False,0.0008363922651772731,0.0005773189769016835,0.0005773189769016835,False,2.0,52.0,Uterus,cardiac-enriched but low-abundance (<5 TPM in heart),True,False,A1+A2,False,True
GDF9,True,0.2021879197238204,0.0257418252446179,0.7481642134100513,2.391117291140844e-07,0.2021879197238204,False,0.0008716569148248631,0.0005656919293025908,0.0005656919293025908,False,50.0,52.0,Testis,not-cardiac (heart TPM < 1),False,False,A1+A2+A3,False,False
GRN,True,0.2823217961864337,0.0226955983889487,0.2987585360701112,0.0034891946966709,0.2823217961864337,False,0.09250465823341161,0.04240519082115617,0.04240519082115617,True,34.0,52.0,Esophagus_Mucosa,not-cardiac (below tissue median),False,False,A1+A3,False,False
GZMA,True,0.5446429726888383,0.0284690273024898,1.7755275260005707,5.463605646351626e-40,0.5446429726888383,False,0.0012234856516140384,0.0005480284819790646,0.0005480284819790646,False,34.0,52.0,Spleen,not-cardiac (heart TPM < 1),False,False,A1+A2+A3,False,False
HBEGF,True,0.6649087451259802,0.0128307148822771,0.4841433413573128,4.6249291228514887e-11,0.4841433413573128,False,0.01999608138392132,0.02609958047450154,0.01999608138392132,True,15.0,52.0,Adipose_Visceral_Omentum,cardiac-expressed-but-not-enriched,True,False,A1,False,True
IGF1,True,0.7035949305458018,0.0019150165507268,0.252211911842421,0.0248958276683902,0.252211911842421,False,0.0033389808598972884,0.011170912133130888,0.0033389808598972884,False,22.0,52.0,Cervix_Endocervix,cardiac-expressed-but-not-enriched,True,False,A1+A2,False,True
IGF2,True,0.778642306169684,0.000296381824735,0.4403185125005958,5.851284659022599e-11,0.4403185125005958,False,0.030642040748681904,0.02213287292115432,0.02213287292115432,True,14.0,52.0,Adipose_Visceral_Omentum,cardiac-expressed-but-not-enriched,True,False,A1,False,True
IL12A,False,0.2690292119775896,0.011631658076962,0.5572179533537231,1.204430832516671e-09,0.2690292119775896,False,0.00089853269514201,0.0003512637674385903,0.0003512637674385903,False,,,,,False,False,A1+A2+A3,False,False
IL16,True,0.5867883118554769,0.002014329789408,0.272482902072103,2.372654685747762e-06,0.272482902072103,False,0.002779052666428424,0.005857197613726379,0.002779052666428424,False,35.0,52.0,Brain_Cerebellum,not-cardiac (below tissue median),False,False,A1+A2+A3,False,False
IL17B,True,0.2533793260931514,0.0247438565471621,0.4880197539694856,0.0011504003865828,0.2533793260931514,False,0.0007098019737498298,5.6123285710621785e-05,5.6123285710621785e-05,False,26.0,52.0,Nerve_Tibial,not-cardiac (heart TPM < 1),True,False,A1+A2,False,True
IL33,False,0.6447082397259111,0.0112646750894766,0.4122927244483257,8.693558557210653e-05,0.4122927244483257,False,0.007099086562290918,0.01791764908899721,0.007099086562290918,True,,,,,False,False,A1+A3,False,False
INHBA,True,0.7504211289353597,0.0001563836822819,0.5179855385031641,2.8100960866887265e-05,0.5179855385031641,False,0.0011198947156589123,0.0026205075225546512,0.0011198947156589123,False,14.0,52.0,Artery_Tibial,cardiac-expressed-but-not-enriched,True,False,A1+A2,False,True
LGALS9,True,0.6161241136987599,0.0080579813746431,0.4852385620017623,7.63958121466942e-07,0.4852385620017623,False,0.009945388710887454,0.0077392720685717595,0.0077392720685717595,True,32.0,52.0,Spleen,not-cardiac (below tissue median),False,False,A1+A3,False,False
MDK,True,1.5163783028033315,6.523341646610516e-10,2.021669352430336,5.061700876410734e-44,1.5163783028033315,True,0.005949154788561015,0.0020075153654315206,0.0020075153654315206,False,36.0,52.0,Ovary,not-cardiac (below tissue median),False,False,A2+A3,False,False
MSTN,True,0.350109995750441,0.0241373638852493,0.997956694979465,1.8561684684814497e-11,0.350109995750441,False,0.0006838741941661739,0.00025662662045091903,0.00025662662045091903,False,46.0,52.0,Cervix_Ectocervix,not-cardiac (heart TPM < 1),False,False,A1+A2+A3,False,False
NPPA,True,3.9073955210775617,1.3136729179459598e-05,2.200988204273308,2.5606400212614065e-27,2.200988204273308,True,0.3882012203806991,0.17781354325109325,0.17781354325109325,True,1.0,52.0,Heart_Atrial_Appendage,cardiac-enriched,True,True,none,True,False
NPPB,True,3.968589079280185,1.1143509022923584e-06,2.0892659885031186,3.0336255964503164e-17,2.0892659885031186,True,0.18174770370289905,0.04721285586666154,0.04721285586666154,True,1.0,52.0,Heart_Atrial_Appendage,cardiac-enriched,True,True,none,True,False
NRG1,True,0.2947738288229998,0.038950429160054,1.4583765618476323,1.132409942497162e-19,0.2947738288229998,False,0.0007021043906484017,0.0001646788517294926,0.0001646788517294926,False,31.0,52.0,Cervix_Endocervix,not-cardiac (heart TPM < 1),False,False,A1+A2+A3,False,False
NTF3,True,0.5033083462856781,0.000116725412999,0.999966315946174,3.695480877270106e-38,0.5033083462856781,False,0.001135329392430632,0.0005899481743453639,0.0005899481743453639,False,29.0,52.0,Artery_Tibial,not-cardiac (below tissue median),False,False,A1+A2+A3,False,False
PDGFD,True,0.5773041722949467,0.001526723195354,0.3416580679433266,2.2456503151806335e-05,0.3416580679433266,False,0.010245086473125487,0.02341003717117674,0.010245086473125487,True,14.0,52.0,Artery_Aorta,cardiac-expressed-but-not-enriched,True,False,A1,False,True
PENK,False,2.3960518716630124,3.666758607674998e-06,3.2981844314658586,2.1935323739753864e-66,2.3960518716630124,True,0.005726344901831363,0.0014685109461723825,0.0014685109461723825,False,,,,,False,False,A2+A3,False,False
POSTN,True,1.2536185587035316,0.0209928114033872,0.8448563302070116,1.0136083869745921e-08,0.8448563302070116,False,0.04750888375795191,0.0550566068308919,0.04750888375795191,True,12.0,52.0,Artery_Aorta,cardiac-expressed-but-not-enriched,True,False,A1,False,True
PROS1,True,0.8765188121308954,0.000225288771955,0.320427129516637,5.7914919353528515e-05,0.320427129516637,False,0.03054812275405147,0.09025401868598906,0.03054812275405147,True,9.0,52.0,Nerve_Tibial,cardiac-expressed-but-not-enriched,True,False,A1,False,True
PTN,True,1.5022799106898648,4.613805529857027e-08,1.517089585844392,6.956545168679155e-59,1.5022799106898648,True,0.025577339509467525,0.023518792871517282,0.023518792871517282,True,23.0,52.0,Pituitary,cardiac-expressed-but-not-enriched,True,True,none,False,True
SEMA3B,True,0.5516225146015332,3.42632013916309e-05,0.5357118993282295,3.4455217194991055e-09,0.5357118993282295,False,0.01067762973990693,0.00790272402544238,0.00790272402544238,True,32.0,52.0,Nerve_Tibial,not-cardiac (below tissue median),False,False,A1+A3,False,False
TAC4,False,0.942474904460602,0.0056216106782135,1.2333798528088955,7.142502343110322e-19,0.942474904460602,False,0.0014044180072719874,0.00014634038796478913,0.00014634038796478913,False,,,,,False,False,A1+A2+A3,False,False
TGFB2,True,1.3374877124937117,1.255809785488107e-05,1.382484374960018,3.265521362990643e-27,1.3374877124937117,True,0.0031346243510096236,0.005193959442694981,0.0031346243510096236,False,38.0,52.0,Minor_Salivary_Gland,not-cardiac (below tissue median),False,False,A2+A3,False,False
TGFB3,True,0.5000917055922973,0.0109343375073031,0.3096105085659516,3.522525095834432e-11,0.3096105085659516,False,0.015672908298242604,0.013545261102403894,0.013545261102403894,True,17.0,52.0,Cervix_Endocervix,cardiac-expressed-but-not-enriched,True,False,A1,False,True
TNF,True,0.2696841432371676,0.0262103050487093,0.748037230147503,3.4877306830397855e-10,0.2696841432371676,False,0.0007256432733123919,0.00036446075110567195,0.00036446075110567195,False,18.0,52.0,Spleen,not-cardiac (heart TPM < 1),True,False,A1+A2,False,True
TNFSF12,True,0.3870038228028157,0.0002688936847631,0.4954834529308961,2.068439763941436e-08,0.3870038228028157,False,0.01786383875095728,0.008207919872091431,0.008207919872091431,True,32.0,52.0,Artery_Aorta,not-cardiac (below tissue median),False,False,A1+A3,False,False
UCN,False,0.713821331574161,5.128842629882387e-08,0.9455197546493987,3.1033264389153024e-08,0.713821331574161,False,0.0014765115827751298,0.00023540953181580264,0.00023540953181580264,False,,,,,False,False,A1+A2+A3,False,False
VEGFB,True,0.2661853063669946,0.0022232116299231,0.4101846225419521,2.0344151384799247e-06,0.2661853063669946,False,0.11211896056291071,0.0469986613790652,0.0469986613790652,True,13.0,52.0,Adipose_Subcutaneous,cardiac-expressed-but-not-enriched,True,False,A1,False,True
WNT10B,True,0.2566163807138494,0.0155992592703634,1.3825530578078198,1.0716589595268883e-22,0.2566163807138494,False,0.0006787990768342399,0.00019293274060025413,0.00019293274060025413,False,37.0,52.0,Brain_Nucleus_accumbens_basal_ganglia,not-cardiac (heart TPM < 1),False,False,A1+A2+A3,False,False
WNT9A,True,2.6990696976064803,1.18944325329193e-08,1.9468904182115965,6.0779000355771216e-34,1.9468904182115965,True,0.005008473516692253,0.005097358968801061,0.005008473516692253,True,29.0,52.0,Colon_Sigmoid,not-cardiac (below tissue median),False,False,A3,False,False
