ref_key,pmid,authors,n_authors,title,journal,year,volume,issue,pages,doi,verified,verification_basis,title_similarity,source,status,methods_role
chaffin2022,35732739,Chaffin M; Papangeli I; Simonson B; Akkad AD; Hill MC; Arduini A; Fleming SJ; Melanson M; Hayat S; Kost-Alimova M; Atwa O; Ye J; Bedi KC; Nahrendorf M; Kaushik VK; Stegmann CM; Margulies KB; Tucker NR; Ellinor PT,19,Single-nucleus profiling of human dilated and hypertrophic cardiomyopathy,Nature,2022,608,7921,174-180,10.1038/s41586-022-04817-8,TRUE,title token-set F1=1.000 (>=0.60 PASS); year 2022 vs expected 2022 (PASS); first author 'chaffin' vs expected 'Chaffin' (PASS),1.0,"PubMed (via pubmed MCP connector, NCBI E-utilities)",new,2.1 candidate 'second standard' human LV snRNA atlas - NOT used here (see references_note.md)
koenig2022,35959412,Koenig AL; Shchukina I; Amrute J; Andhey PS; Zaitsev K; Lai L; Bajpai G; Bredemeyer A; Smith G; Jones C; Terrebonne E; Rentschler SL; Artyomov MN; Lavine KJ,14,Single-cell transcriptomics reveals cell-type-specific diversification in human heart failure,Nat Cardiovasc Res,2022,1,3,263-280,10.1038/s44161-022-00028-6,TRUE,title token-set F1=1.000 (>=0.60 PASS); year 2022 vs expected 2022 (PASS); first author 'koenig' vs expected 'Koenig' (PASS),1.0,"PubMed (via pubmed MCP connector, NCBI E-utilities)",new,2.1 candidate 'second standard' human LV snRNA atlas - NOT used here (see references_note.md)
gse57345_liu2015b,25528681,Liu Y; Morley M; Brandimarto J; Hannenhalli S; Hu Y; Ashley EA; Tang WH; Moravec CS; Margulies KB; Cappola TP; Li M,11,RNA-Seq identifies novel myocardial gene expression signatures of heart failure,Genomics,2014,105,2,83-9,10.1016/j.ygeno.2014.12.002,TRUE,title token-set F1=1.000 (>=0.60 PASS); year 2014 vs expected 2015 (PASS); first author 'liu' vs expected 'Liu' (PASS),1.0,"PubMed (via pubmed MCP connector, NCBI E-utilities)",new,2.1 / 3.11 MAGNet resource paper; GSE57345 array cohort and MAGNet provenance for GSE141910
litvinukova2020,32971526,Litvinukova M; Talavera-Lopez C; Maatz H; Reichart D; Worth CL; Lindberg EL; Kanda M; Polanski K; Heinig M; Lee M; Nadelmann ER; Roberts K; Tuck L; Fasouli ES; Delaughter DM; Mcdonough B; Wakimoto H; Gorham JM; Samari S; Mahbubani KT; Saeb-Parsy K; Patone G; Boyle JJ; Zhang H; Zhang H; Viveiros A; Oudit GY; Bayraktar OA; Seidman JG; Seidman CE; Noseda M; Hubner N; Teichmann SA,33,Cells of the adult human heart,Nature,2020,588,7838,466-472,10.1038/s41586-020-2797-4,TRUE,title token-set F1=1.000 (>=0.60 PASS); year 2020 vs expected 2020 (PASS); first author 'litvinukova' vs expected 'Litvinukova' (PASS),1.0,"PubMed (via pubmed MCP connector, NCBI E-utilities)",new,2.1 reference healthy adult human heart snRNA atlas - NOT the atlas used here (see references_note.md)
pancan_weinstein2013,24071849,Weinstein JN; Collisson EA; Mills GB; Shaw KR; Ozenberger BA; Ellrott K; Shmulevich I; Sander C; Stuart JM,9,The Cancer Genome Atlas Pan-Cancer analysis project,Nat Genet,2013,45,10,1113-20,10.1038/ng.2764,TRUE,"title token-set F1=1.000 (>=0.60 PASS); year 2013 vs expected 2013 (PASS); first author 'collective' vs expected 'Weinstein' (PASS); ADJUDICATED: PubMed author[0] is an affiliation-only stub with no surname (consortium entry); first NAMED author is Weinstein JN. V3 evaluated on first named author = PASS. Adjudication disclosed, criterion text unchanged.",1.0,"PubMed (via pubmed MCP connector, NCBI E-utilities)",new,2.1 TCGA PanCanAtlas project
gse150910_furusawa2020,32602730,Furusawa H; Cardwell JH; Okamoto T; Walts AD; Konigsberg IR; Kurche JS; Bang TJ; Schwarz MI; Brown KK; Kropski JA; Rojas M; Cool CD; Lee JS; Wolters PJ; Yang IV; Schwartz DA,16,"Chronic Hypersensitivity Pneumonitis, an Interstitial Lung Disease with Distinct Molecular Signatures",Am J Respir Crit Care Med,2020,202,10,1430-1444,10.1164/rccm.202001-0134OC,TRUE,title token-set F1=1.000 (>=0.60 PASS); year 2020 vs expected 2020 (PASS); first author 'furusawa' vs expected 'Furusawa' (PASS),1.0,"PubMed (via pubmed MCP connector, NCBI E-utilities)",new,2.8 T2 / 3.9 GSE150910 lung IPF cohort (the largest T2 cohort; PTN significantly DOWN here)
bh_fdr_1995,,Benjamini Y; Hochberg Y,2,Controlling the False Discovery Rate: A Practical and Powerful Approach to Multiple Testing,Journal of the Royal Statistical Society Series B: Statistical Methodology,1995,57,1,289-300,10.1111/j.2517-6161.1995.tb02031.x,TRUE,title token-set F1=1.000 (>=0.60 PASS); year 1995 (PASS); first author matches expected (PASS),1.0,Not indexed in PubMed; record retrieved from Crossref REST API (api.crossref.org). All bibliographic fields verbatim from the Crossref record.,new,2.2 / 2.6 Benjamini-Hochberg FDR control at 0.05
scipy_virtanen2020,32015543,Virtanen P; Gommers R; Oliphant TE; Haberland M; Reddy T; Cournapeau D; Burovski E; Peterson P; Weckesser W; Bright J; Van Der Walt SJ; Brett M; Wilson J; Millman KJ; Mayorov N; Nelson ARJ; Jones E; Kern R; Larson E; Carey CJ; Polat İ; Feng Y; Moore EW; Vanderplas J; Laxalde D; Perktold J; Cimrman R; Henriksen I; Quintero EA; Harris CR; Archibald AM; Ribeiro AH; Pedregosa F; Van Mulbregt P,34,SciPy 1.0: fundamental algorithms for scientific computing in Python,Nat Methods,2020,17,3,261-272,10.1038/s41592-019-0686-2,TRUE,title token-set F1=1.000 (>=0.60 PASS); year 2020 vs expected 2020 (PASS); first author 'virtanen' vs expected 'Virtanen' (PASS),1.0,"PubMed (via pubmed MCP connector, NCBI E-utilities)",new,2.10 software
cox_1972,,Cox DR,1,Regression Models and Life-Tables,Journal of the Royal Statistical Society Series B: Statistical Methodology,1972,34,2,187-202,10.1111/j.2517-6161.1972.tb00899.x,TRUE,title token-set F1=1.000 (>=0.60 PASS); year 1972 (PASS); first author matches expected (PASS),1.0,Not indexed in PubMed; record retrieved from Crossref REST API (api.crossref.org). All bibliographic fields verbatim from the Crossref record.,new,2.8 / 3.10 Cox proportional-hazards survival models
gse116250_sweet2018,30419824,Sweet ME; Cocciolo A; Slavov D; Jones KL; Sweet JR; Graw SL; Reece TB; Ambardekar AV; Bristow MR; Mestroni L; Taylor MRG,11,Transcriptome analysis of human heart failure reveals dysregulated cell adhesion in dilated cardiomyopathy and activated immune pathways in ischemic heart failure,BMC Genomics,2018,19,1,812,10.1186/s12864-018-5213-9,TRUE,title token-set F1=1.000 (>=0.60 PASS); year 2018 vs expected 2018 (PASS); first author 'sweet' vs expected 'Sweet' (PASS),1.0,"PubMed (via pubmed MCP connector, NCBI E-utilities)",new,2.1 GSE116250 discovery cohort paper
geo_barrett2013,23193258,Barrett T; Wilhite SE; Ledoux P; Evangelista C; Kim IF; Tomashevsky M; Marshall KA; Phillippy KH; Sherman PM; Holko M; Yefanov A; Lee H; Zhang N; Robertson CL; Serova N; Davis S; Soboleva A,17,NCBI GEO: archive for functional genomics data sets--update,Nucleic Acids Res,2012,41,Database issue,D991-5,10.1093/nar/gks1193,TRUE,title token-set F1=1.000 (>=0.60 PASS); year 2012 vs expected 2013 (PASS); first author 'barrett' vs expected 'Barrett' (PASS),1.0,"PubMed (via pubmed MCP connector, NCBI E-utilities)",new,2.1 GEO as data source
limma_ritchie2015,25605792,Ritchie ME; Phipson B; Wu D; Hu Y; Law CW; Shi W; Smyth GK,7,limma powers differential expression analyses for RNA-sequencing and microarray studies,Nucleic Acids Res,2015,43,7,e47,10.1093/nar/gkv007,TRUE,title token-set F1=1.000 (>=0.60 PASS); year 2015 vs expected 2015 (PASS); first author 'ritchie' vs expected 'Ritchie' (PASS),1.0,"PubMed (via pubmed MCP connector, NCBI E-utilities)",new,2.2 moderated-t / limma reference implementation
voom_law2014,24485249,Law CW; Chen Y; Shi W; Smyth GK,4,voom: Precision weights unlock linear model analysis tools for RNA-seq read counts,Genome Biol,2014,15,2,R29,10.1186/gb-2014-15-2-r29,TRUE,title token-set F1=1.000 (>=0.60 PASS); year 2014 vs expected 2014 (PASS); first author 'law' vs expected 'Law' (PASS),1.0,"PubMed (via pubmed MCP connector, NCBI E-utilities)",new,2.2 voom/limma-trend methodology
ebayes_smyth2004,16646809,Smyth GK,1,Linear models and empirical bayes methods for assessing differential expression in microarray experiments,Stat Appl Genet Mol Biol,2004,3,,Article3,10.2202/1544-6115.1027,TRUE,title token-set F1=1.000 (>=0.60 PASS); year 2004 vs expected 2004 (PASS); first author 'smyth' vs expected 'Smyth' (PASS),1.0,"PubMed (via pubmed MCP connector, NCBI E-utilities)",new,2.2 empirical-Bayes moderated t-statistic
pancan_hoadley2018,29625048,Hoadley KA; Yau C; Hinoue T; Wolf DM; Lazar AJ; Drill E; Shen R; Taylor AM; Cherniack AD; Thorsson V; Akbani R; Bowlby R; Wong CK; Wiznerowicz M; Sanchez-Vega F; Robertson AG; Schneider BG; Lawrence MS; Noushmehr H; Malta TM; Stuart JM; Benz CC; Laird PW,23,"Cell-of-Origin Patterns Dominate the Molecular Classification of 10,000 Tumors from 33 Types of Cancer",Cell,2018,173,2,291-304.e6,10.1016/j.cell.2018.03.022,TRUE,title token-set F1=1.000 (>=0.60 PASS); year 2018 vs expected 2018 (PASS); first author 'hoadley' vs expected 'Hoadley' (PASS),1.0,"PubMed (via pubmed MCP connector, NCBI E-utilities)",new,2.1 PanCanAtlas flagship / EBPlusPlus expression resource
gdc_grossman2016,27653561,Grossman RL; Heath AP; Ferretti V; Varmus HE; Lowy DR; Kibbe WA; Staudt LM,7,Toward a Shared Vision for Cancer Genomic Data,N Engl J Med,2016,375,12,1109-12,10.1056/NEJMp1607591,TRUE,title token-set F1=1.000 (>=0.60 PASS); year 2016 vs expected 2016 (PASS); first author 'grossman' vs expected 'Grossman' (PASS),1.0,"PubMed (via pubmed MCP connector, NCBI E-utilities)",new,2.1 GDC as retrieval source for PanCanAtlas and TCGA-CDR
gtex_v8_2020,32913098,,0,The GTEx Consortium atlas of genetic regulatory effects across human tissues,Science,2020,369,6509,1318-1330,10.1126/science.aaz1776,TRUE,title token-set F1=1.000 (>=0.60 PASS); year 2020 vs expected 2020 (PASS); first author 'collective' vs expected 'CONSORTIUM' (PASS),1.0,"PubMed (via pubmed MCP connector, NCBI E-utilities)",new,2.1 / 2.6 GTEx v8 median tissue expression
hpa_uhlen2015,25613900,Uhlen M; Fagerberg L; Hallstrom BM; Lindskog C; Oksvold P; Mardinoglu A; Sivertsson Å; Kampf C; Sjostedt E; Asplund A; Olsson I; Edlund K; Lundberg E; Navani S; Szigyarto CA; Odeberg J; Djureinovic D; Takanen JO; Hober S; Alm T; Edqvist PH; Berling H; Tegel H; Mulder J; Rockberg J; Nilsson P; Schwenk JM; Hamsten M; Von Feilitzen K; Forsberg M; Persson L; Johansson F; Zwahlen M; Von Heijne G; Nielsen J; Ponten F,36,Proteomics. Tissue-based map of the human proteome,Science,2015,347,6220,1260419,10.1126/science.1260419,TRUE,title token-set F1=0.909 (>=0.60 PASS); year 2015 vs expected 2015 (PASS); first author 'uhlen' vs expected 'Uhlen' (PASS),0.9091,"PubMed (via pubmed MCP connector, NCBI E-utilities)",new,2.1 / 2.3 HPA protein-class annotation
hpa_secretome_uhlen2019,31772123,Uhlen M; Karlsson MJ; Hober A; Svensson AS; Scheffel J; Kotol D; Zhong W; Tebani A; Strandberg L; Edfors F; Sjostedt E; Mulder J; Mardinoglu A; Berling A; Ekblad S; Dannemeyer M; Kanje S; Rockberg J; Lundqvist M; Malm M; Volk AL; Nilsson P; Manberg A; Dodig-Crnkovic T; Pin E; Zwahlen M; Oksvold P; Von Feilitzen K; Haussler RS; Hong MG; Lindskog C; Ponten F; Katona B; Vuu J; Lindstrom E; Nielsen J; Robinson J; Ayoglu B; Mahdessian D; Sullivan D; Thul P; Danielsson F; Stadler C; Lundberg E; Bergstrom G; Gummesson A; Voldborg BG; Tegel H; Hober S; Forsstrom B; Schwenk JM; Fagerberg L; Sivertsson Å,53,The human secretome,Sci Signal,2019,12,609,,10.1126/scisignal.aaz0274,TRUE,title token-set F1=1.000 (>=0.60 PASS); year 2019 vs expected 2019 (PASS); first author 'uhlen' vs expected 'Uhlen' (PASS),1.0,"PubMed (via pubmed MCP connector, NCBI E-utilities)",new,2.3 HPA secretome annotation and secretion tiering
geo_edgar2002,11752295,Edgar R; Domrachev M; Lash AE,3,Gene Expression Omnibus: NCBI gene expression and hybridization array data repository,Nucleic Acids Res,2002,30,1,207-10,10.1093/nar/30.1.207,TRUE,title token-set F1=1.000 (>=0.60 PASS); year 2002 vs expected 2002 (PASS); first author 'edgar' vs expected 'Edgar' (PASS),1.0,"PubMed (via pubmed MCP connector, NCBI E-utilities)",new,2.1 GEO original description
cellchat_jin2021,33597522,Jin S; Guerrero-Juarez CF; Zhang L; Chang I; Ramos R; Kuan CH; Myung P; Plikus MV; Nie Q,9,Inference and analysis of cell-cell communication using CellChat,Nat Commun,2021,12,1,1088,10.1038/s41467-021-21246-9,TRUE,title token-set F1=1.000 (>=0.60 PASS); year 2021 vs expected 2021 (PASS); first author 'jin' vs expected 'Jin' (PASS),1.0,"PubMed (via pubmed MCP connector, NCBI E-utilities)",new,2.1 / 2.3 CellChatDB human ligand-receptor database
chronos_dempster2021,34930405,Dempster JM; Boyle I; Vazquez F; Root DE; Boehm JS; Hahn WC; Tsherniak A; Mcfarland JM,8,Chronos: a cell population dynamics model of CRISPR experiments that improves inference of gene fitness effects,Genome Biol,2021,22,1,343,10.1186/s13059-021-02540-7,TRUE,title token-set F1=1.000 (>=0.60 PASS); year 2021 vs expected 2021 (PASS); first author 'dempster' vs expected 'Dempster' (PASS),1.0,"PubMed (via pubmed MCP connector, NCBI E-utilities)",new,2.9 Chronos gene-effect algorithm underlying DepMap CRISPR scores
ccle_barretina2012,22460905,Barretina J; Caponigro G; Stransky N; Venkatesan K; Margolin AA; Kim S; Wilson CJ; Lehar J; Kryukov GV; Sonkin D; Reddy A; Liu M; Murray L; Berger MF; Monahan JE; Morais P; Meltzer J; Korejwa A; Jane-Valbuena J; Mapa FA; Thibault J; Bric-Furlong E; Raman P; Shipway A; Engels IH; Cheng J; Yu GK; Yu J; Aspesi P; De Silva M; Jagtap K; Jones MD; Wang L; Hatton C; Palescandolo E; Gupta S; Mahan S; Sougnez C; Onofrio RC; Liefeld T; Macconaill L; Winckler W; Reich M; Li N; Mesirov JP; Gabriel SB; Getz G; Ardlie K; Chan V; Myer VE; Weber BL; Porter J; Warmuth M; Finan P; Harris JL; Meyerson M; Golub TR; Morrissey MP; Sellers WR; Schlegel R; Garraway LA,61,The Cancer Cell Line Encyclopedia enables predictive modelling of anticancer drug sensitivity,Nature,2012,483,7391,603-7,10.1038/nature11003,TRUE,title token-set F1=1.000 (>=0.60 PASS); year 2012 vs expected 2012 (PASS); first author 'barretina' vs expected 'Barretina' (PASS),1.0,"PubMed (via pubmed MCP connector, NCBI E-utilities)",new,2.9 DepMap cell-line lineage annotation provenance
cptac_ellis2013,24124232,Ellis MJ; Gillette M; Carr SA; Paulovich AG; Smith RD; Rodland KK; Townsend RR; Kinsinger C; Mesri M; Rodriguez H; Liebler DC,11,Connecting genomic alterations to cancer biology with proteomics: the NCI Clinical Proteomic Tumor Analysis Consortium,Cancer Discov,2013,3,10,1108-12,10.1158/2159-8290.CD-13-0219,TRUE,title token-set F1=1.000 (>=0.60 PASS); year 2013 vs expected 2013 (PASS); first author 'ellis' vs expected 'Ellis' (PASS),1.0,"PubMed (via pubmed MCP connector, NCBI E-utilities)",new,2.1 / 3.12 CPTAC consortium
cptac_portal_edwards2015,25873244,Edwards NJ; Oberti M; Thangudu RR; Cai S; Mcgarvey PB; Jacob S; Madhavan S; Ketchum KA,8,The CPTAC Data Portal: A Resource for Cancer Proteomics Research,J Proteome Res,2015,14,6,2707-13,10.1021/pr501254j,TRUE,title token-set F1=1.000 (>=0.60 PASS); year 2015 vs expected 2015 (PASS); first author 'edwards' vs expected 'Edwards' (PASS),1.0,"PubMed (via pubmed MCP connector, NCBI E-utilities)",new,2.1 CPTAC data portal / PDC lineage
thorsson2018,29628290,Thorsson V; Gibbs DL; Brown SD; Wolf D; Bortone DS; Ou Yang TH; Porta-Pardo E; Gao GF; Plaisier CL; Eddy JA; Ziv E; Culhane AC; Paull EO; Sivakumar IKA; Gentles AJ; Malhotra R; Farshidfar F; Colaprico A; Parker JS; Mose LE; Vo NS; Liu J; Liu Y; Rader J; Dhankani V; Reynolds SM; Bowlby R; Califano A; Cherniack AD; Anastassiou D; Bedognetti D; Mokrab Y; Newman AM; Rao A; Chen K; Krasnitz A; Hu H; Malta TM; Noushmehr H; Pedamallu CS; Bullman S; Ojesina AI; Lamb A; Zhou W; Shen H; Choueiri TK; Weinstein JN; Guinney J; Saltz J; Holt RA; Rabkin CS; Lazar AJ; Serody JS; Demicco EG; Disis ML; Vincent BG; Shmulevich I,57,The Immune Landscape of Cancer,Immunity,2018,48,4,812-830.e14,10.1016/j.immuni.2018.03.023,TRUE,title token-set F1=1.000 (>=0.60 PASS); year 2018 vs expected 2018 (PASS); first author 'thorsson' vs expected 'Thorsson' (PASS),1.0,"PubMed (via pubmed MCP connector, NCBI E-utilities)",new,2.1 / 3.5 Thorsson immune-landscape feature tables
reichart2022,35926050,Reichart D; Lindberg EL; Maatz H; Miranda AMA; Viveiros A; Shvetsov N; Gartner A; Nadelmann ER; Lee M; Kanemaru K; Ruiz-Orera J; Strohmenger V; Delaughter DM; Patone G; Zhang H; Woehler A; Lippert C; Kim Y; Adami E; Gorham JM; Barnett SN; Brown K; Buchan RJ; Chowdhury RA; Constantinou C; Cranley J; Felkin LE; Fox H; Ghauri A; Gummert J; Kanda M; Li R; Mach L; Mcdonough B; Samari S; Shahriaran F; Yapp C; Stanasiuk C; Theotokis PI; Theis FJ; Van Den Bogaerdt A; Wakimoto H; Ware JS; Worth CL; Barton PJR; Lee YA; Teichmann SA; Milting H; Noseda M; Oudit GY; Heinig M; Seidman JG; Hubner N; Seidman CE,54,Pathogenic variants damage cell composition and single cell transcription in cardiomyopathies,Science,2022,377,6606,eabo1984,10.1126/science.abo1984,TRUE,title token-set F1=1.000 (>=0.60 PASS); year 2022 vs expected 2022 (PASS); first author 'reichart' vs expected 'Reichart' (PASS),1.0,"PubMed (via pubmed MCP connector, NCBI E-utilities)",new,2.1 / 3.9 human heart single-nucleus atlas (DCM/ACM) ACTUALLY USED
kuppe2022,35948637,Kuppe C; Ramirez Flores RO; Li Z; Hayat S; Levinson RT; Liao X; Hannani MT; Tanevski J; Wunnemann F; Nagai JS; Halder M; Schumacher D; Menzel S; Schafer G; Hoeft K; Cheng M; Ziegler S; Zhang X; Peisker F; Kaesler N; Saritas T; Xu Y; Kassner A; Gummert J; Morshuis M; Amrute J; Veltrop RJA; Boor P; Klingel K; Van Laake LW; Vink A; Hoogenboezem RM; Bindels EMJ; Schurgers L; Sattler S; Schapiro D; Schneider RK; Lavine K; Milting H; Costa IG; Saez-Rodriguez J; Kramann R,42,Spatial multi-omic map of human myocardial infarction,Nature,2022,608,7924,766-777,10.1038/s41586-022-05060-x,TRUE,title token-set F1=1.000 (>=0.60 PASS); year 2022 vs expected 2022 (PASS); first author 'kuppe' vs expected 'Kuppe' (PASS),1.0,"PubMed (via pubmed MCP connector, NCBI E-utilities)",new,2.1 / 3.9 human heart single-nucleus atlas (MI) ACTUALLY USED
