permutation,total_pairs_primary,total_pairs_sens_incl_observed,total_pairs_sens_with_replacement,drawn_set_primary
49,39,26,18,ITGA6|PLXNA1|ERBB2|TNFRSF1A|ITGB4|LRP1|ITGB1
50,23,22,24,LRP1|FGFR1|IGF2R|ITGB4|ITGB5|CD44|TNFRSF1A
51,37,41,45,ERBB2|TNFRSF12A|ERBB3|ITGA6|TNFRSF1A|IGF2R|LRP1
52,22,28,40,ITGB5|NRP2|SORT1|LRP1|ITGB1|ERBB2|CD44
53,41,22,30,TNFRSF1A|PLXNA1|ITGA6|ITGB5|ITGB4|ITGB1|ERBB2
54,42,29,32,ITGB4|TNFRSF12A|ITGB5|ERBB3|IGF2R|ITGA6|TNFRSF1A
55,31,30,29,ITGB4|PDGFRB|ERBB2|ITGB1|IGF2R|LRP1|ITGA6
56,35,30,40,ERBB2|PLXNA1|CD44|ITGB5|LRP1|IGF2R|ITGA6
57,21,22,30,SORT1|BMPR2|CD44|TNFRSF1A|ITGB1|ERBB2|ITGB5
58,31,20,22,ERBB2|TGFBR2|ITGB5|ITGB4|CD44|SORT1|ITGA6
59,37,22,23,ITGA6|ACVR1B|ERBB3|ITGB1|ITGB5|ITGB4|TNFRSF1A
60,35,21,24,ERBB3|PLXNA1|ITGB5|ITGB1|ERBB2|IGF2R|TNFRSF1A
61,30,29,28,ITGB5|LRP5|LRP1|ITGA6|ITGB1|CD44|ERBB3
62,29,35,38,ITGB1|TNFRSF12A|CD44|IGF2R|ERBB2|LRP1|ITGB5
63,27,21,28,LRP1|NRP1|TNFRSF1A|ITGB1|SORT1|ITGB4|ITGA6
64,33,37,36,ITGA6|PDGFRB|ERBB2|ITGB5|IGF2R|ITGB4|TNFRSF1A
65,30,30,27,ITGB5|FGFR1|LRP1|ITGB4|CD44|ITGA6|ITGB1
66,30,21,28,ITGB5|NRP1|TNFRSF1A|CD44|ERBB3|SORT1|ERBB2
67,35,30,32,CD44|TGFBR1|ITGA6|TNFRSF1A|ERBB2|ITGB4|ITGB1
68,26,30,24,ITGB5|LRP5|ITGB4|SORT1|ITGB1|CD44|ERBB2
69,18,31,28,IGF2R|IGF1R|TNFRSF1A|CD44|LRP1|SORT1|ITGB1
70,31,24,28,ITGB4|FGFR1|ERBB2|TNFRSF1A|ITGA6|ITGB5|ITGB1
71,23,30,45,LRP1|IGF1R|ERBB2|ERBB3|IGF2R|SORT1|ITGB5
72,35,38,33,ERBB3|NRP2|IGF2R|ITGB1|ERBB2|CD44|ITGA6
73,22,28,21,ITGA6|LRP5|TNFRSF1A|CD44|SORT1|IGF2R|ITGB5
74,30,28,33,ERBB2|NRP2|TNFRSF1A|IGF2R|ITGB4|SORT1|ERBB3
75,35,25,29,CD44|PLXNA1|SORT1|ITGB5|ITGA6|LRP1|ERBB2
76,35,26,24,ITGB5|ACVR1B|ITGA6|TNFRSF1A|ERBB3|ITGB4|LRP1
77,35,23,19,ITGA6|TGFBR2|ITGB4|IGF2R|CD44|ERBB3|TNFRSF1A
78,30,24,28,LRP1|FLT1|CD44|ITGB5|ERBB2|TNFRSF1A|ERBB3
79,24,20,29,TNFRSF1A|FLT1|ITGA6|SORT1|ITGB1|IGF2R|ERBB2
80,26,37,45,ITGB1|TNFRSF12A|SORT1|ERBB2|ITGB5|TNFRSF1A|IGF2R
81,22,32,24,ERBB3|BMPR2|IGF2R|ERBB2|ITGB1|ITGB5|LRP1
82,28,29,28,ERBB3|TGFBR2|IGF2R|CD44|LRP1|ITGA6|ITGB1
83,23,24,16,ERBB3|NTRK2|SORT1|ITGB1|ERBB2|LRP1|ITGB5
84,24,27,27,TNFRSF1A|IGF1R|SORT1|ERBB2|ITGB5|ITGB4|LRP1
85,18,29,35,ERBB2|FGFR1|CD44|IGF2R|LRP1|ITGB1|SORT1
86,44,37,31,ERBB3|TNFRSF12A|ITGB5|ITGB4|ITGA6|ITGB1|TNFRSF1A
87,31,34,34,ITGB1|NRP2|TNFRSF1A|ERBB2|ITGB4|IGF2R|ITGA6
88,29,22,33,ITGA6|FGFR1|SORT1|ITGB5|ERBB3|LRP1|CD44
89,29,33,32,ITGB5|ACVR1B|ERBB2|CD44|TNFRSF1A|LRP1|ITGB4
90,31,34,29,TNFRSF1A|NRP1|LRP1|IGF2R|ERBB3|ITGA6|CD44
91,30,23,33,TNFRSF1A|ACVR1B|ERBB3|ITGB5|ITGA6|ITGB1|IGF2R
92,37,37,38,ITGB4|TNFRSF12A|TNFRSF1A|CD44|ITGA6|LRP1|IGF2R
93,36,39,37,ITGB4|NTRK2|ITGA6|ERBB3|CD44|ITGB1|SORT1
94,39,39,41,LRP1|TNFRSF12A|CD44|ITGA6|ITGB1|ITGB5|ITGB4
95,40,37,31,ERBB3|PLXNA1|ITGA6|ITGB1|TNFRSF1A|IGF2R|ERBB2
96,42,33,42,ERBB3|NRP2|CD44|ERBB2|ITGB4|ITGA6|ITGB1
97,31,20,23,ITGA6|ACVR1B|IGF2R|ITGB4|ITGB5|ITGB1|ERBB2
98,33,27,32,CD44|ACVR1B|ITGB5|ERBB3|ITGA6|TNFRSF1A|SORT1
99,32,19,23,ITGA6|BMPR2|LRP1|TNFRSF1A|ITGB4|ITGB1|ERBB3
100,30,35,32,ERBB2|NRP2|IGF2R|ITGB5|ITGA6|ERBB3|SORT1
101,33,26,31,ITGB4|IGF1R|LRP1|TNFRSF1A|ERBB3|CD44|ITGB1
102,31,28,30,IGF2R|PLXNA1|CD44|SORT1|ITGB4|TNFRSF1A|LRP1
103,35,34,40,IGF2R|PDGFRB|CD44|ERBB2|SORT1|ITGA6|ERBB3
104,28,21,27,LRP1|TGFBR2|ERBB3|ITGB5|CD44|ITGA6|SORT1
105,25,22,29,SORT1|NRP1|LRP1|TNFRSF1A|ITGB4|ITGB1|CD44
106,17,22,30,SORT1|TGFBR1|CD44|LRP1|ITGB5|ITGB1|IGF2R
107,32,36,34,ITGB1|PDGFRB|ITGA6|TNFRSF1A|IGF2R|ERBB3|ITGB5
108,15,34,27,IGF2R|NTRK2|SORT1|LRP1|ITGB5|ERBB2|TNFRSF1A
109,28,25,24,ITGA6|BMPR2|CD44|LRP1|TNFRSF1A|SORT1|ERBB3
110,29,29,27,CD44|TGFBR2|SORT1|LRP1|ITGA6|ITGB4|ERBB2
111,28,26,21,ERBB3|NRP2|ITGB5|SORT1|LRP1|ITGA6|TNFRSF1A
112,39,25,26,ERBB3|TGFBR2|CD44|ERBB2|ITGA6|ITGB5|ITGB4
113,27,26,28,ITGA6|FGFR1|ERBB3|LRP1|CD44|SORT1|IGF2R
114,24,39,37,LRP1|LRP5|ERBB2|ITGB1|CD44|IGF2R|ITGB4
115,26,39,42,ITGB1|PDGFRB|ITGA6|IGF2R|ERBB2|ITGB5|LRP1
116,21,34,29,TNFRSF1A|PDGFRB|SORT1|LRP1|ITGB5|ERBB2|ITGB1
117,26,25,29,ITGA6|BMPR2|IGF2R|TNFRSF1A|ITGB1|ERBB2|CD44
118,37,30,35,ERBB2|LRP5|ITGB4|ITGA6|LRP1|CD44|ERBB3
119,27,27,27,IGF2R|LRP5|ITGB4|ITGA6|TNFRSF1A|CD44|SORT1
120,34,38,47,ITGA6|PLXNA1|SORT1|ITGB5|ERBB2|ITGB1|TNFRSF1A
121,26,30,32,ITGB4|FLT1|ITGB1|LRP1|ERBB3|SORT1|IGF2R
122,29,29,31,ITGB4|NRP2|ERBB2|ITGA6|LRP1|SORT1|ITGB1
123,19,32,32,ERBB2|LRP5|ITGB4|IGF2R|LRP1|TNFRSF1A|SORT1
124,30,33,39,ERBB2|PDGFRB|SORT1|IGF2R|ERBB3|CD44|ITGB1
125,30,36,36,SORT1|FLT1|ERBB3|ITGB1|ITGB5|CD44|ERBB2
126,30,32,42,ERBB2|NRP1|LRP1|ITGB4|ERBB3|ITGB1|SORT1
127,31,42,42,IGF2R|NTRK2|CD44|ERBB2|LRP1|ERBB3|ITGA6
128,32,34,29,ERBB2|ACVR1B|LRP1|ITGA6|ERBB3|ITGB5|ITGB1
129,26,37,29,LRP1|BMPR2|SORT1|ERBB3|ITGA6|CD44|IGF2R
130,32,39,35,TNFRSF1A|PLXNA1|SORT1|LRP1|ITGB4|ERBB2|ITGB5
131,31,28,20,ITGB4|FGFR1|ERBB2|CD44|SORT1|ERBB3|LRP1
132,26,21,22,LRP1|TGFBR2|CD44|ERBB2|ITGB4|TNFRSF1A|ITGB5
133,29,33,26,ERBB2|NRP2|TNFRSF1A|ITGB1|ITGB4|CD44|IGF2R
134,26,35,35,ERBB3|FLT1|ITGB1|ITGB4|SORT1|IGF2R|LRP1
135,35,29,38,SORT1|PLXNA1|IGF2R|ITGA6|ERBB2|ITGB4|LRP1
136,35,34,36,LRP1|PDGFRB|ERBB3|TNFRSF1A|ITGA6|ITGB4|IGF2R
137,24,30,28,ITGA6|TGFBR2|ERBB2|ITGB5|LRP1|CD44|SORT1
138,38,25,28,ERBB2|TGFBR1|TNFRSF1A|ITGB5|ITGA6|ERBB3|ITGB4
139,33,30,35,CD44|ACVR1B|SORT1|TNFRSF1A|ERBB3|ITGB5|ITGB4
140,32,24,27,ITGB4|NRP1|ITGA6|ITGB1|CD44|SORT1|ITGB5
141,31,32,37,ITGA6|IGF1R|ERBB3|CD44|ITGB5|LRP1|IGF2R
142,25,23,21,SORT1|BMPR2|ERBB3|ITGA6|IGF2R|TNFRSF1A|ITGB5
143,22,24,26,CD44|TGFBR2|LRP1|ITGB4|TNFRSF1A|ITGB1|IGF2R
144,26,19,32,SORT1|NRP1|TNFRSF1A|ERBB3|IGF2R|LRP1|ITGB4
145,27,40,42,TNFRSF1A|PDGFRB|ITGA6|ITGB5|CD44|SORT1|IGF2R
146,31,26,26,TNFRSF1A|TGFBR1|ERBB3|ITGB5|IGF2R|ITGA6|ERBB2
147,26,30,37,ERBB2|PDGFRB|ITGB1|SORT1|ITGB5|ITGA6|LRP1
148,26,32,36,IGF2R|NRP2|ITGB1|CD44|LRP1|ITGB5|ERBB3
149,24,43,37,SORT1|NTRK2|ERBB2|ERBB3|CD44|IGF2R|LRP1
150,33,30,25,TNFRSF1A|TGFBR2|CD44|ITGA6|ITGB4|ERBB2|ITGB1
151,24,28,18,ITGB5|NTRK2|ITGB1|IGF2R|TNFRSF1A|ERBB2|ITGB4
152,29,34,23,IGF2R|TGFBR2|ITGA6|ITGB5|ITGB1|ERBB2|ERBB3
153,18,29,27,ITGB5|NTRK2|IGF2R|LRP1|ITGB4|TNFRSF1A|SORT1
154,26,35,38,ITGA6|PDGFRB|IGF2R|LRP1|ERBB2|ITGB1|TNFRSF1A
155,24,33,34,ITGB5|LRP5|LRP1|ITGB4|IGF2R|ERBB2|CD44
156,46,39,29,TNFRSF1A|TNFRSF12A|ERBB2|ITGB4|ERBB3|ITGB1|ITGA6
157,32,39,43,ITGA6|ACVR1B|LRP1|ERBB3|ITGB1|ERBB2|ITGB5
158,22,37,27,IGF2R|FLT1|ITGB5|SORT1|ITGA6|ERBB2|LRP1
159,30,38,33,TNFRSF1A|PDGFRB|ERBB3|CD44|IGF2R|ERBB2|LRP1
160,35,39,42,ERBB3|TNFRSF12A|SORT1|ITGB5|ITGB4|LRP1|ITGB1
161,35,28,26,ITGB5|PLXNA1|IGF2R|CD44|LRP1|ITGA6|ERBB2
162,28,24,26,LRP1|FGFR1|ITGB1|ERBB3|ITGA6|ERBB2|SORT1
163,32,32,19,ITGB5|FLT1|ERBB2|ERBB3|CD44|ITGB1|TNFRSF1A
164,31,31,32,ERBB2|LRP5|ITGB4|CD44|SORT1|ITGA6|TNFRSF1A
165,33,36,28,IGF2R|FLT1|ITGB4|LRP1|ITGB1|ERBB3|ITGA6
166,27,26,28,ITGB4|IGF1R|ITGA6|LRP1|ITGB5|IGF2R|ITGB1
167,33,27,17,ITGB4|FGFR1|TNFRSF1A|ITGA6|ITGB1|ERBB3|SORT1
168,31,39,31,SORT1|PDGFRB|ITGB5|ITGA6|TNFRSF1A|ITGB4|ITGB1
169,25,30,32,SORT1|TGFBR2|ITGB5|IGF2R|ERBB3|ERBB2|CD44
170,35,22,20,ITGA6|BMPR2|TNFRSF1A|ITGB4|LRP1|CD44|ERBB3
171,33,28,28,ERBB3|ACVR1B|IGF2R|SORT1|ITGB4|ITGA6|ITGB1
172,25,27,27,ITGB5|TGFBR1|LRP1|ITGB4|IGF2R|SORT1|ERBB3
173,30,31,29,SORT1|BMPR2|CD44|ERBB3|ITGB5|ITGB1|ITGA6
174,33,26,26,TNFRSF1A|TGFBR2|CD44|ITGB1|ERBB2|ITGB4|ITGA6
175,33,26,30,CD44|LRP5|SORT1|LRP1|ITGB4|ERBB3|ITGA6
176,22,24,28,ITGB1|FGFR1|TNFRSF1A|LRP1|CD44|ITGB5|ERBB2
177,24,30,29,ITGB5|TGFBR1|ITGA6|IGF2R|ITGB1|LRP1|CD44
178,39,39,47,ERBB2|PDGFRB|CD44|ITGA6|ERBB3|ITGB1|ITGB5
179,29,24,32,CD44|TGFBR2|IGF2R|ITGB4|SORT1|ERBB2|ITGA6
180,34,27,29,SORT1|LRP5|TNFRSF1A|ERBB3|ERBB2|ITGB4|ITGA6
181,34,30,29,ERBB2|NRP1|SORT1|ITGB4|TNFRSF1A|CD44|ITGA6
182,33,29,29,CD44|ACVR1B|ITGB5|ITGB1|ITGB4|LRP1|ERBB3
183,29,31,27,ERBB3|TGFBR1|SORT1|TNFRSF1A|ERBB2|IGF2R|ITGA6
184,35,30,30,CD44|NRP1|ERBB2|ITGB5|ITGB4|SORT1|ERBB3
185,34,13,33,LRP1|PLXNA1|ITGB5|ITGB1|ITGA6|ERBB2|TNFRSF1A
186,21,20,21,ITGB5|TGFBR2|IGF2R|ITGB4|TNFRSF1A|ERBB2|SORT1
187,30,47,34,IGF2R|TNFRSF12A|ITGB5|ERBB3|LRP1|ERBB2|SORT1
188,35,20,29,ITGB1|TGFBR2|ERBB3|SORT1|CD44|ITGA6|ITGB4
189,32,22,17,ERBB3|FLT1|ITGB4|TNFRSF1A|ERBB2|ITGB5|SORT1
190,27,27,33,ITGB5|FGFR1|IGF2R|ITGB1|ITGA6|CD44|ERBB2
191,39,33,38,ITGB1|TNFRSF12A|ITGB5|IGF2R|ITGB4|ITGA6|CD44
192,34,30,15,ERBB3|TGFBR2|ITGB4|ITGA6|ERBB2|IGF2R|TNFRSF1A
193,31,22,31,LRP1|TGFBR1|ITGB5|ITGB1|ERBB2|ERBB3|ITGB4
194,31,21,22,ITGB4|TGFBR1|ITGB1|ITGA6|SORT1|CD44|TNFRSF1A
195,28,25,22,SORT1|LRP5|ITGB5|ITGB1|ITGB4|ERBB2|ITGA6
196,31,27,26,ITGB4|FLT1|LRP1|ITGA6|ITGB1|ERBB2|TNFRSF1A
197,27,25,27,ITGB1|FLT1|CD44|SORT1|ITGB5|TNFRSF1A|ITGA6
198,32,42,38,ITGB5|PDGFRB|ITGB4|IGF2R|SORT1|ERBB2|ERBB3
199,42,34,34,TNFRSF1A|IGF1R|CD44|ERBB2|ITGB4|ITGA6|ERBB3
200,31,28,27,ERBB3|NTRK2|ITGA6|LRP1|CD44|TNFRSF1A|ITGB5
201,26,24,28,ERBB3|IGF1R|LRP1|CD44|SORT1|ITGB1|TNFRSF1A
202,29,23,21,ITGB5|TGFBR2|ITGB1|LRP1|CD44|ITGB4|ITGA6
203,17,33,26,TNFRSF1A|LRP5|IGF2R|LRP1|ITGB5|ITGA6|SORT1
204,35,33,25,ERBB3|FGFR1|ITGB4|ITGB5|ERBB2|SORT1|ITGA6
205,47,34,35,ITGB4|TNFRSF12A|ITGA6|ITGB5|CD44|ITGB1|ERBB3
206,42,29,24,ERBB3|TNFRSF12A|ITGB4|ITGB1|SORT1|ITGB5|ITGA6
207,18,16,25,ITGB1|FGFR1|TNFRSF1A|IGF2R|SORT1|LRP1|ITGA6
208,24,23,26,ITGA6|NRP2|ITGB1|LRP1|TNFRSF1A|SORT1|ERBB2
209,21,28,27,SORT1|TGFBR1|ERBB2|TNFRSF1A|LRP1|ITGB1|CD44
210,33,22,15,ITGB5|FGFR1|ERBB3|TNFRSF1A|SORT1|ITGB4|ITGA6
211,27,25,37,LRP1|FLT1|ERBB2|ERBB3|ITGB1|TNFRSF1A|ITGB5
212,28,25,23,ITGB4|IGF1R|TNFRSF1A|ERBB3|LRP1|IGF2R|ITGB5
213,33,35,42,CD44|PLXNA1|LRP1|ITGB5|ITGB4|ITGB1|SORT1
214,32,26,31,SORT1|ACVR1B|ERBB3|ITGA6|ERBB2|ITGB1|ITGB5
215,35,27,27,ITGA6|IGF1R|SORT1|ERBB2|ERBB3|ITGB5|CD44
216,33,31,27,ITGB5|TGFBR1|CD44|ITGA6|SORT1|ITGB4|ERBB2
217,19,25,25,ITGB5|BMPR2|CD44|IGF2R|TNFRSF1A|ERBB2|SORT1
218,31,28,31,ERBB2|LRP5|ITGB4|ITGA6|ITGB5|SORT1|CD44
219,27,24,37,IGF2R|FLT1|ITGB1|CD44|ITGA6|TNFRSF1A|ITGB5
220,31,25,28,ITGB4|ACVR1B|SORT1|ITGA6|TNFRSF1A|ITGB5|ERBB2
221,35,35,39,ITGB1|TNFRSF12A|SORT1|ERBB3|ITGB5|ITGA6|IGF2R
222,29,31,30,ITGB4|TGFBR1|SORT1|ITGB1|CD44|LRP1|ITGA6
223,32,30,29,ERBB2|PLXNA1|TNFRSF1A|CD44|ITGB1|SORT1|ITGB5
224,29,31,33,ERBB2|FLT1|TNFRSF1A|CD44|ITGA6|ITGB1|LRP1
225,28,29,23,ITGB4|TGFBR2|ITGB1|SORT1|ERBB3|LRP1|CD44
226,16,27,27,CD44|FGFR1|TNFRSF1A|LRP1|IGF2R|ITGB1|SORT1
227,40,23,26,CD44|PLXNA1|LRP1|TNFRSF1A|ITGB4|ITGB5|ITGA6
228,27,30,24,CD44|IGF1R|ITGB4|SORT1|LRP1|ERBB2|ITGB1
229,40,32,50,ITGB1|TNFRSF12A|ERBB3|ITGA6|IGF2R|SORT1|ITGB4
230,24,29,31,SORT1|FGFR1|ITGB5|ITGB1|IGF2R|CD44|ERBB3
231,29,26,27,ITGA6|FGFR1|ERBB3|SORT1|LRP1|ITGB1|CD44
232,20,26,20,IGF2R|NRP1|ITGB5|ERBB2|LRP1|CD44|SORT1
233,29,23,23,CD44|TGFBR1|ITGB5|TNFRSF1A|ERBB2|ERBB3|SORT1
234,31,19,23,ERBB3|IGF1R|ITGB5|ITGB4|LRP1|IGF2R|CD44
235,38,35,27,TNFRSF1A|NRP1|CD44|LRP1|ITGB4|ERBB3|ITGA6
236,27,30,29,ERBB2|NTRK2|SORT1|IGF2R|ITGB5|ITGB4|ITGA6
237,27,32,23,ERBB3|BMPR2|IGF2R|SORT1|ITGB4|ITGB5|ERBB2
238,46,22,37,ITGB4|PLXNA1|ITGB5|CD44|ERBB3|ITGA6|IGF2R
239,28,35,31,ERBB3|NTRK2|ERBB2|CD44|LRP1|ITGB1|TNFRSF1A
240,30,29,19,ITGB5|NRP1|TNFRSF1A|ERBB3|LRP1|ITGA6|ITGB1
241,45,27,29,ITGB1|PLXNA1|ITGB4|CD44|TNFRSF1A|ERBB2|ERBB3
242,14,20,14,ITGB5|TGFBR1|LRP1|IGF2R|ITGB1|TNFRSF1A|SORT1
243,26,32,28,ERBB3|FGFR1|CD44|ITGB5|IGF2R|LRP1|ERBB2
244,26,29,34,IGF2R|IGF1R|ITGB1|CD44|ERBB3|SORT1|TNFRSF1A
245,25,26,26,ITGA6|TGFBR2|SORT1|ITGB4|LRP1|IGF2R|CD44
246,32,42,30,CD44|PDGFRB|ERBB2|ITGB1|SORT1|ERBB3|ITGB5
247,37,41,32,ERBB3|PDGFRB|LRP1|IGF2R|ERBB2|ITGB4|ITGA6
248,32,29,19,TNFRSF1A|BMPR2|ITGA6|ERBB3|ITGB4|LRP1|ITGB1
249,31,40,37,CD44|NTRK2|ITGA6|ERBB3|IGF2R|ITGB1|TNFRSF1A
250,23,31,29,SORT1|FLT1|ERBB2|LRP1|IGF2R|ITGB1|ERBB3
251,27,28,19,ITGB5|LRP5|IGF2R|ITGB1|TNFRSF1A|ITGB4|ERBB3
252,25,29,25,ITGA6|TGFBR1|IGF2R|LRP1|TNFRSF1A|ERBB3|SORT1
253,29,29,35,TNFRSF1A|NRP1|IGF2R|ERBB2|ITGA6|LRP1|ITGB4
254,42,25,31,ITGB1|TNFRSF12A|IGF2R|ITGB4|ERBB3|ITGB5|ITGA6
255,16,21,21,ITGB1|TGFBR1|TNFRSF1A|ERBB2|SORT1|LRP1|IGF2R
256,20,30,20,ITGB5|NTRK2|LRP1|ERBB2|TNFRSF1A|SORT1|CD44
257,35,43,41,ERBB3|PDGFRB|ITGA6|ITGB5|TNFRSF1A|IGF2R|CD44
258,33,35,31,ITGA6|NTRK2|ERBB2|ITGB1|CD44|ERBB3|IGF2R
259,30,31,35,TNFRSF1A|NTRK2|ERBB3|ITGB5|LRP1|ERBB2|ITGA6
260,25,30,18,LRP1|TGFBR2|TNFRSF1A|IGF2R|ITGB1|ITGB4|ERBB3
261,30,28,29,ITGB1|IGF1R|IGF2R|ITGB4|SORT1|ERBB3|ERBB2
262,22,23,20,ITGB5|BMPR2|SORT1|ITGA6|LRP1|CD44|TNFRSF1A
263,22,25,33,TNFRSF1A|BMPR2|SORT1|ITGB5|IGF2R|ITGB4|CD44
264,22,29,22,ITGB5|BMPR2|IGF2R|ERBB2|ITGB1|LRP1|ERBB3
265,23,28,31,ITGB4|NTRK2|LRP1|ITGB5|ITGB1|CD44|IGF2R
266,26,38,33,ERBB3|NTRK2|LRP1|TNFRSF1A|ITGA6|ITGB5|SORT1
267,30,26,37,ITGB4|ACVR1B|LRP1|CD44|ITGA6|SORT1|ITGB5
268,28,31,31,TNFRSF1A|TGFBR1|CD44|LRP1|ERBB2|ITGB1|ITGA6
269,30,27,27,TNFRSF1A|PLXNA1|ITGB4|ERBB2|SORT1|IGF2R|LRP1
270,29,23,21,ITGB1|IGF1R|ITGB4|IGF2R|ITGB5|ITGA6|TNFRSF1A
271,28,32,31,SORT1|NRP2|ERBB3|IGF2R|LRP1|ITGA6|ERBB2
272,16,20,22,ERBB2|LRP5|TNFRSF1A|ITGB5|SORT1|LRP1|ITGB1
273,25,25,27,ITGB5|NRP1|ITGB1|IGF2R|CD44|SORT1|ITGB4
274,25,27,37,CD44|NRP1|ITGB1|IGF2R|ITGB4|SORT1|TNFRSF1A
275,14,27,22,LRP1|TGFBR2|IGF2R|ITGB5|TNFRSF1A|ERBB2|SORT1
276,28,34,30,TNFRSF1A|NRP1|ERBB3|ITGB1|CD44|IGF2R|ITGB5
277,28,27,25,LRP1|PDGFRB|CD44|TNFRSF1A|ERBB3|ITGB5|IGF2R
278,34,32,24,ERBB2|NRP1|IGF2R|CD44|ITGB4|ITGA6|TNFRSF1A
279,25,29,25,IGF2R|PDGFRB|SORT1|LRP1|ERBB3|ERBB2|TNFRSF1A
