identifier,pmid,doi,pmc,title,year,journal,publication_types,evidence_tier,what_it_measured,direction,classification_cardiac_plasma_source,verification_note,how_record_was_found
PMID:15985215,15985215,10.1016/j.bbrc.2005.05.160,,Midkine regulates pleiotrophin organ-specific gene expression: evidence for transcriptional regulation and functional redundancy within the pleiotrophin/midkine developmental gene family.,2005,Biochem Biophys Res Commun,"Journal Article; Research Support, N.I.H., Extramural; Research Support, U.S. Gov't, Non-P.H.S.; Research Support, U.S. Gov't, P.H.S.",cardiac_ptn_tissue_or_model,"Ptn mRNA expression in heart tissue (and other organs), Mk-/- and Ptn-/- mice",up_vs_control,irrelevant,,abstract_search
PMID:15253972,15253972,10.1136/hrt.2002.006734,PMC1768375,Dynamic changes of gene expression profiles during postnatal development of the heart in mice.,2004,Heart,"Journal Article; Research Support, Non-U.S. Gov't",cardiac_ptn_tissue_or_model,"PTN mRNA/protein in mouse heart tissue (microarray, Northern blot, immunohistochemistry); mouse, not plasma",not_applicable,irrelevant,,abstract_search
PMID:12756220,12756220,10.1161/01.HYP.0000074905.22908.A6,,Effects of pressure overload on extracellular matrix expression in the heart of the atrial natriuretic peptide-null mouse.,2003,Hypertension,"Journal Article; Research Support, Non-U.S. Gov't; Research Support, U.S. Gov't, P.H.S.",cardiac_ptn_tissue_or_model,"Pleiotrophin mRNA/protein in mouse heart tissue (microarray, Northern blot, immunohistochemistry)",up_vs_control,irrelevant,,abstract_search
PMID:1550956,1550956,10.1091/mbc.3.1.85,PMC275504,Structural and functional characterization of full-length heparin-binding growth associated molecule.,1992,Mol Biol Cell,"Journal Article; Research Support, Non-U.S. Gov't; Research Support, U.S. Gov't, P.H.S.",cardiac_ptn_tissue_or_model,HB-GAM (PTN) purified/sequenced from bovine brain and chicken heart tissue,not_applicable,irrelevant,,abstract_search
PMID:41796259,41796259,10.1186/s43556-026-00424-5,PMC12968111,miR-338-3p promotes radiation recall like dermatitis by suppressing pleiotrophin via the PI3K/Akt/Bcl2 pathway.,2026,Mol Biomed,Journal Article,irrelevant,"miR-338-3p in serum (human patients) and skin tissue (rat); PTN in skin/cell lines, not cardiac",not_applicable,irrelevant,,abstract_search
PMID:41811695,41811695,10.1039/d5bm01589h,,A heparin-functionalized scaffold loaded with pleiotrophin enhances endothelialization and angiogenic potential in liver tissue engineering.,2026,Biomater Sci,Journal Article,irrelevant,PTN used as scaffold-bound growth factor in liver tissue engineering; not plasma/serum measurement,not_applicable,irrelevant,,abstract_search
PMID:41957607,41957607,10.1186/s12974-026-03799-y,PMC13200446,Single-cell and spatial transcriptomics analyses reveal tumor microenvironment-driven proliferation of NF2-associated vestibular schwannomas.,2026,J Neuroinflammation,Journal Article,irrelevant,"PTN receptor-ligand signaling in tumor tissue (Schwann cells/immune cells), human vestibular schwannoma",not_applicable,irrelevant,,abstract_search
PMID:42017444,42017444,10.1002/advs.75426,PMC13335594,Cancer-Associated Fibroblast-Derived Sphingosine-1-Phosphate Activates a MALL-SDC4 Axis to Facilitate Perineural Invasion in Pancreatic Cancer.,2026,Adv Sci (Weinh),Journal Article,irrelevant,"Schwann cell-derived pleiotrophin sensitizing cancer cells in PDAC model, not plasma/serum",not_applicable,irrelevant,,abstract_search
PMID:42180921,42180921,10.21037/tcr-2025-1-2718,PMC13190676,Serum amyloid A1 promote progression of breast cancer and is associated with epithelial-mesenchymal transition.,2026,Transl Cancer Res,Journal Article,irrelevant,"PTN signaling pathway inferred from ligand-receptor interaction analysis in breast cancer scRNA-seq/bulk RNA-seq, not measured protein",not_applicable,irrelevant,,abstract_search
PMID:40974031,40974031,10.1093/bjd/ljaf360,,Single-cell RNA sequencing reveals the transcriptomic landscape of and potential targets for large and giant congenital melanocytic naevi.,2026,Br J Dermatol,Journal Article,irrelevant,"PTN-PTPRZ1 signaling pathway in skin melanocytes (single-cell/bulk RNA-seq), human",not_applicable,irrelevant,,abstract_search
PMID:41595750,41595750,10.3390/biomedicines14010216,PMC12839092,Beyond Amyloid: Targeting Co-Aggregating Proteins and Targeted Degradation Strategies in Alzheimer's Disease.,2026,Biomedicines,Journal Article,irrelevant,"PTN in amyloid plaques (brain tissue), not plasma; Alzheimer's disease context",not_applicable,irrelevant,,abstract_search
PMID:41605460,41605460,10.1111/neup.70044,PMC12851830,Pleiotrophin/Midkine Pathway Is Dysregulated in a TDP-43Mouse Model of Amyotrophic Lateral Sclerosis (ALS).,2026,Neuropathology,Journal Article,irrelevant,"PTN/MK mRNA and protein in lumbar spinal cord tissue, TDP-43 transgenic mice",up_vs_control,irrelevant,,abstract_search
PMID:41584304,41584304,10.1016/j.bbrep.2026.102448,PMC12830078,Single-cell transcriptome sequencing revealing the microenvironment of breast fibroepithelial tumor.,2026,Biochem Biophys Rep,Journal Article,irrelevant,"PTN-SDC4 ligand-receptor interaction inferred from scRNA-seq, breast tumor tissue, human",not_applicable,irrelevant,,abstract_search
PMID:41644086,41644086,10.1016/j.jid.2026.01.020,,"Hydroxypinacolone 9-cis retinoate mitigates UV-induced photoaging by modulating extracellular matrix, fibroblasts, inflammation, and melanogenesis.",2026,J Invest Dermatol,Journal Article,irrelevant,"PTN-SDC2 signaling in mouse skin scRNA-seq/spatial transcriptomics; not plasma, not cardiac, not human",not_applicable,irrelevant,,abstract_search
PMID:41764740,41764740,10.1093/jimmun/vkaf327,,A comprehensive single-cell analysis reveals the impact of laser interstitial thermal therapy on the tumor microenvironment in glioblastoma.,2026,J Immunol,Journal Article,irrelevant,"Ptn-Ncl gene interaction, rat GBM tissue, single-cell RNA sequencing",not_applicable,irrelevant,,abstract_search
PMID:41838327,41838327,10.1007/s12672-026-04764-0,PMC13103110,Integrative multi-omics analysis reveals an 11-gene malignant-myeloid interaction signature and identifies TPST1 as a potential regulator of immunosuppressive microenvironment in glioma.,2026,Discov Oncol,Journal Article,irrelevant,"PTN-NCL ligand-receptor signaling inferred in glioma scRNA-seq tumor/myeloid cells, not plasma",not_applicable,irrelevant,,abstract_search
PMID:42351855,42351855,10.3390/bioengineering13060608,PMC13295993,The Use of Osteo-Inductive 3D-Printed Scaffolds Covered with a Pleiotrophin Peptide for Bone Defects: An In Vivo Experimental Study.,2026,Bioengineering (Basel),Journal Article,irrelevant,"PTN peptide (aa 48-56) used as scaffold coating in rat femur bone defect model, not measured",not_applicable,irrelevant,,abstract_search
PMID:42458042,42458042,10.1007/s00018-026-06352-5,,Moesin is an &#x3b1;&#x3b2;integrin-interacting protein that affects endothelial cell activation and angiogenesis through balancing c-Met and VEGFR2 activation.,2026,Cell Mol Life Sci,Journal Article,irrelevant,"Moesin phosphorylation in endothelial cells (human/mouse); PTN used as stimulus, not measured",not_applicable,irrelevant,,abstract_search
PMID:42403709,42403709,10.3389/fphar.2026.1839516,PMC13329020,"Chronic inhibition of receptor protein tyrosine phosphatase &#x3b2;/&#x3b6; reduces amyloid plaque load and modulates pleiotrophin-expressing glial cells, glial-plaque interactions and genes related to amyloid beta clearance.",2026,Front Pharmacol,Journal Article,irrelevant,"PTN expression in brain tissue (glial cells), APP/PS1 mouse model",up_vs_control,irrelevant,,abstract_search
PMID:39829367,39829367,10.1080/07853890.2025.2452353,PMC11749013,The roles of pleiotrophin in brain injuries: a narrative review of the literature.,2025,Ann Med,Journal Article; Review,irrelevant,"not measured; narrative review of PTN in brain injury, animal/tissue data",not_applicable,irrelevant,,abstract_search
PMID:39940657,39940657,10.3390/ijms26030887,PMC11817445,Influence of Simulated Altitude Exposure (2500 m) on Patients with Fontan Palliation Based on Circulating Hypoxia-Associated Factors.,2025,Int J Mol Sci,Journal Article,irrelevant,"Periostin, labelled 'OSF-1' in this paper, Luminex, human Fontan plasma - NOT pleiotrophin",not_applicable,irrelevant,"ALIAS FALSE POSITIVE: paper uses OSF-1 for periostin, not pleiotrophin. Excluded.",abstract_search
PMID:40087317,40087317,10.1038/s41467-025-57924-1,PMC11909280,Astrocytic pleiotrophin deficiency in the prefrontal cortex contributes to stress-induced depressive-like responses in male mice.,2025,Nat Commun,Journal Article,irrelevant,"PTN in brain/PFC tissue (astrocytes, snRNA-seq) in human MDD patients and mice; not plasma",down_vs_control,irrelevant,,abstract_search
PMID:40149671,40149671,10.3390/biomedicines13030695,PMC11940355,Targeting the PTN/PTPRZ1-ROS Pathway to Promote Bone Regeneration.,2025,Biomedicines,Journal Article,irrelevant,"PTN in rat BMSCs and osteoporotic rat bone tissue, not plasma/cardiac",not_applicable,irrelevant,,abstract_search
PMID:40236402,40236402,10.1101/2025.04.01.25325047,PMC11998807,Airway Spatial Transcriptomics in Smoking.,2025,medRxiv,Journal Article; Preprint,irrelevant,"Pleiotrophin pathway inferred from lung spatial/scRNA-seq transcriptomic data, human tissue",not_applicable,irrelevant,,abstract_search
PMID:40251274,40251274,10.1038/s42003-025-07887-2,PMC12008306,Spatial transcriptomics reveals regionally altered gene expression that drives retinal degeneration.,2025,Commun Biol,Journal Article,irrelevant,"Pleiotrophin mRNA expression, mouse retina tissue (spatial transcriptomics), not plasma/serum, not cardiac",not_applicable,irrelevant,,abstract_search
PMID:40501632,40501632,10.1101/2025.06.08.658502,PMC12157602,Primitive Hepatoblasts Driving Early Liver Development.,2025,bioRxiv,Journal Article; Preprint,irrelevant,"PTN secretion from human iPSC-derived primitive hepatoblast-like cells in vitro, not plasma",not_applicable,irrelevant,,abstract_search
PMID:40598599,40598599,10.1186/s13287-025-04436-w,PMC12211975,A single-cell transcriptomic atlas of human lens epithelium: identification and functional insights into lens stem/progenitor cells.,2025,Stem Cell Res Ther,Journal Article,irrelevant,PTN signaling inferred from scRNA-seq in human lens epithelial cells,not_applicable,irrelevant,,abstract_search
PMID:40681356,40681356,10.14336/AD.2025.0387,PMC13256556,Lars2 Deficiency-Induced Mitochondrial Dysfunction Drives the Emergence of a Pro-Inflammatory Stroke-Specific Microglial Subpopulation.,2025,Aging Dis,Journal Article,irrelevant,"Ptn mRNA/expression in mouse neurons and microglia (single-cell RNA-seq, in vitro); not plasma/serum, not human, not cardiac",not_applicable,irrelevant,,abstract_search
PMID:40797111,40797111,10.1186/s13619-025-00253-x,PMC12344060,Integrative analysis and experimental validation identify the role of CD44 and Nucleolin in regulating gliogenesis following spinal cord injury.,2025,Cell Regen,Journal Article,irrelevant,"Ptn/Ncl mRNA and protein in mouse spinal cord tissue/astrocytes, not cardiac, not plasma",not_applicable,irrelevant,,abstract_search
PMID:40904345,40904345,10.3389/fnagi.2025.1634283,PMC12401994,Modulation of fenestrated vasculature in the median eminence and area postrema in response to neurotoxin exposure and its impairment in aging.,2025,Front Aging Neurosci,Journal Article,irrelevant,"PTN mRNA/protein in tanycytes of median eminence/area postrema tissue, rodent",not_applicable,irrelevant,,abstract_search
PMID:40971297,40971297,10.1016/j.celrep.2025.116300,PMC12591093,Dysregulation of astrocyte-secreted pleiotrophin contributes to neuronal structural and functional deficits in Down syndrome.,2025,Cell Rep,Journal Article,irrelevant,"Pleiotrophin protein in astrocytes/neurons, hippocampus, Ts65Dn mouse model of Down syndrome",down_vs_control,irrelevant,,abstract_search
PMID:41005999,41005999,10.1152/ajpcell.00272.2025,,Exploring the molecular cargos associated with extracellular vesicles extracted from bone tissue to identify novel players in osteoblast function.,2025,Am J Physiol Cell Physiol,"Journal Article; Research Support, Non-U.S. Gov't",irrelevant,"Pleiotrophin protein in bone-derived large extracellular vesicles, mouse",not_applicable,irrelevant,,abstract_search
PMID:41071604,41071604,10.1681/ASN.0000000894,PMC13065212,"Spatial Transcriptomics Reveals Injured Cells, Signature Genes, and Communication Patterns in the Cyst Microenvironment of Polycystic Kidney Disease.",2025,J Am Soc Nephrol,Journal Article,irrelevant,"Ptn spatial transcriptomics and immunohistochemistry in mouse kidney tissue (Pkd1-deficient, PKD model)",not_applicable,irrelevant,,abstract_search
PMID:41107820,41107820,10.1186/s12967-025-07172-0,PMC12534973,"Pleiotrophin modulates cell proliferation, prostate smooth muscle contraction and fibrosis in hyperplastic prostate.",2025,J Transl Med,Journal Article,irrelevant,"PTN in prostate tissue/cells, rat and mouse models; not cardiac, not plasma",not_applicable,irrelevant,,abstract_search
PMID:41130097,41130097,10.1016/j.biopha.2025.118671,,Pleiotrophin and receptor protein tyrosine phosphatase &#x3b2;/&#x3b6; as key modulators of high-fat diet-induced cognitive impairment and brain alterations.,2025,Biomed Pharmacother,Journal Article,irrelevant,"PTN in brain/hippocampus, mouse HFD model; not plasma, not cardiac",not_applicable,irrelevant,,abstract_search
PMID:41200065,41200065,10.3892/ol.2025.15364,PMC12587114,Clinical value of emerging peripheral blood protein biomarkers in prostate cancer (Review).,2025,Oncol Lett,Journal Article; Review,irrelevant,review of peripheral blood pleiotrophin among prostate cancer biomarkers; no cardiac data,not_applicable,irrelevant,,abstract_search
PMID:41456275,41456275,10.1016/j.celrep.2025.116747,PMC12869227,Adult leptomeningeal vestigial neural crest-derived multipotent cells promote vascular repair after stroke.,2025,Cell Rep,Journal Article,irrelevant,"PTN signaling in mouse leptomeningeal cells post-stroke, not plasma/cardiac",not_applicable,irrelevant,,abstract_search
PMID:41465519,41465519,10.3390/ijms262412094,PMC12733047,Overexpression of ITGB3 in Peripheral Blood Mononuclear Cells of Relapsing-Remitting Multiple Sclerosis Patients.,2025,Int J Mol Sci,Journal Article,irrelevant,"ITGB3 mRNA in PBMCs, human MS patients; PTN not directly measured here",not_applicable,irrelevant,,abstract_search
PMID:39705130,39705130,10.1097/JS9.0000000000002166,,Tracking adipose-derived stem cell exosomes applied in a mouse crush injury model: insights from fluorescent labeling and spatial transcriptomics - an experimental study.,2025,Int J Surg,Journal Article,irrelevant,Pleiotrophin pathway gene expression in mouse sciatic nerve/spinal tissue (spatial transcriptomics),not_applicable,irrelevant,,abstract_search
PMID:40883588,40883588,10.1007/s12031-025-02314-x,,Identification of Therapeutic Targets for Premature Ovarian Failure Through Mendelian Randomization and Colocalization Analysis Using Human Plasma Proteomics.,2025,J Mol Neurosci,Journal Article,irrelevant,"Plasma proteomics pQTL analysis (UK Biobank, human), PTN among many proteins linked to ovarian failure, not cardiac",not_applicable,irrelevant,,abstract_search
PMID:40069581,40069581,10.1038/s41467-025-57699-5,PMC11897407,PTN activity in quiescent neural stem cells mediates Shank3 overexpression-induced manic behavior.,2025,Nat Commun,Journal Article,irrelevant,"PTN in neural stem cells, mouse brain tissue; not plasma or cardiac",not_applicable,irrelevant,,abstract_search
PMID:40748498,40748498,10.1007/s00221-025-07134-4,,Pericyte loss: a key factor inducing brain A&#x3b2;40 accumulation and neuronal degeneration in cerebral amyloid angiopathy.,2025,Exp Brain Res,Journal Article,irrelevant,PTN mRNA in mouse brain tissue and PTN secretion in vitro NVU model (pericyte/SH-SY5Y cells),down_vs_control,irrelevant,,abstract_search
PMID:39654349,39654349,10.1111/cns.70159,PMC11628725,Pleiotrophin Overexpression Reduces Adolescent Ethanol Consumption and Modulates Ethanol-Induced Glial Responses and Changes in the Perineuronal Nets in the Mouse Hippocampus.,2024,CNS Neurosci Ther,"Journal Article; Research Support, Non-U.S. Gov't",irrelevant,"PTN in hippocampal tissue, mouse (transgenic and controls)",down_vs_control,irrelevant,,abstract_search
PMID:39695008,39695008,10.1007/s12033-024-01341-0,,Unveiling Key Genes Modulating Retinal Cell Survival and Autophagy in Glaucoma.,2024,Mol Biotechnol,Journal Article,irrelevant,"PTN gene expression/transfection in retinal ganglion cells (glaucoma model), not plasma or cardiac",not_applicable,irrelevant,,abstract_search
PMID:39712344,39712344,10.1007/s40200-024-01547-8,PMC11659568,Clinical relevance of midkine as a biomarker predicting atherosclerotic risk factors in individuals with type-2 diabetes mellitus: a cross-sectional study.,2024,J Diabetes Metab Disord,Journal Article,irrelevant,"Midkine (MK), serum, human; PTN only mentioned as related protein family member",not_applicable,irrelevant,,abstract_search
PMID:39729991,39729991,10.1016/j.stemcr.2024.11.013,PMC11784482,Astrocyte-derived PTN alleviates deficits in hippocampal neurogenesis and cognition in models of multiple sclerosis.,2024,Stem Cell Reports,"Journal Article; Research Support, Non-U.S. Gov't",irrelevant,"PTN in astrocytes/hippocampal tissue, mouse MS demyelination models; no plasma/serum measurement",not_applicable,irrelevant,,abstract_search
PMID:38486356,38486356,10.1093/procel/pwae012,PMC11214835,Comprehensive transcriptional atlas of human adenomyosis deciphered by the integration of single-cell RNA-sequencing and spatial transcriptomics.,2024,Protein Cell,"Journal Article; Research Support, Non-U.S. Gov't",irrelevant,"PTN signaling inferred from scRNA-seq/spatial transcriptomics in adenomyosis lesion tissue, human",not_applicable,irrelevant,,abstract_search
PMID:38665065,38665065,10.1177/00220345241236120,,A Novel Mechanism of MSCs Responding to Occlusal Force for Bone Homeostasis.,2024,J Dent Res,"Journal Article; Research Support, Non-U.S. Gov't",irrelevant,"Ptn secretion from mouse LepR+ MSCs, alveolar bone tissue/cells; mouse and HUVEC in vitro",not_applicable,irrelevant,,abstract_search
PMID:38903914,38903914,10.7150/ijms.95598,PMC11186421,Retinal ganglion cell type-specific expression of synuclein family members revealed by scRNA-sequencing.,2024,Int J Med Sci,Journal Article,irrelevant,"Ptn-Ncl signaling pathway scRNA-seq, retina tissue, human/mouse/chicken",not_applicable,irrelevant,,abstract_search
PMID:39127040,39127040,10.1016/j.xcrm.2024.101669,PMC11384960,"Integrative proteomics identifies a conserved A&#x3b2; amyloid responsome, novel plaque proteins, and pathology modifiers in Alzheimer's disease.",2024,Cell Rep Med,Journal Article,irrelevant,"PTN/MDK protein co-accumulation with amyloid plaques and cardiac transthyretin amyloid deposits, brain/tissue, mouse and human",not_applicable,irrelevant,,abstract_search
PMID:39155781,39155781,10.1631/jzus.B2300407,PMC11337087,Single-cell transcriptomics reveals tumor landscape in ovarian carcinosarcoma.,2024,J Zhejiang Univ Sci B,Journal Article,irrelevant,"PTN signaling pathway inferred from scRNA-seq in ovarian carcinosarcoma tumor cells, human",not_applicable,irrelevant,,abstract_search
PMID:39241251,39241251,10.1093/humrep/deae199,PMC11447013,Single-cell RNA sequencing reveals transcriptomic landscape and potential targets for human testicular ageing.,2024,Hum Reprod,"Journal Article; Research Support, Non-U.S. Gov't",irrelevant,"PTN signaling (scRNA-seq transcriptomic) in human testicular cells, not plasma/cardiac",not_applicable,irrelevant,,abstract_search
PMID:39255863,39255863,10.1016/j.tox.2024.153947,,Pleiotrophin modulates acute and long-term LPS-induced neuroinflammatory responses and hippocampal neurogenesis.,2024,Toxicology,"Journal Article; Research Support, Non-U.S. Gov't",irrelevant,"PTN genetic manipulation (KO/Tg) mice; TNF-α plasma, brain hippocampal tissue; mouse",not_applicable,irrelevant,,abstract_search
PMID:39285301,39285301,10.1186/s40659-024-00546-6,PMC11406790,PTN from Leydig cells activates SDC2 and modulates human spermatogonial stem cell proliferation and survival via GFRA1.,2024,Biol Res,Journal Article,irrelevant,"PTN in testicular tissue (Leydig cells/spermatogonia), human, not cardiac or plasma",not_applicable,irrelevant,,abstract_search
PMID:39456743,39456743,10.3390/ijms252010960,PMC11507919,Constitutive Pleiotrophin Deletion Results in a Phenotype with an Altered Pancreatic Morphology and Function in Old Mice.,2024,Int J Mol Sci,Journal Article,irrelevant,"PTN knockout effects on pancreatic islets, insulin/glucagon/GLUT2/VAMP2/SNAP25, mouse tissue",not_applicable,irrelevant,,abstract_search
PMID:39238647,39238647,10.3389/fimmu.2024.1427124,PMC11375220,Integrating single-cell transcriptomics to reveal the ferroptosis regulators in the tumor microenvironment that contribute to bladder urothelial carcinoma progression and immunotherapy.,2024,Front Immunol,Journal Article,irrelevant,"PTN-SDC1 ligand-receptor signaling in bladder cancer scRNA-seq TME, human tissue",not_applicable,irrelevant,,abstract_search
PMID:39563367,39563367,10.1186/s12967-024-05866-5,PMC11575056,The mononuclear phagocyte system obscures the accurate diagnosis of infected joint replacements.,2024,J Transl Med,"Journal Article; Research Support, Non-U.S. Gov't",irrelevant,"not mentioned; abstract covers cytokine/immune markers in joint infection, no PTN",not_applicable,irrelevant,,abstract_search
